,subject_id,time_elapsed,gender,age,understood,comments
0,A10BH9PYCYUKDJ,1395592,female,41,yes,Started out rough but I think I got the hang of it a little at the end.
1,A10HW8JXM17XLD,4235989,female,42,yes,This task was very challenging but also fun and engaging. Thanks for the opportunity to participate. 
2,A12FTSX85NQ8N9,1536294,male,29,yes,No comments :)
3,A163XFZG5BI0XU,1242010,male,40,yes,none
4,A19WXS1CLVLEEX,1156888,male,68,yes,no
5,A1DZMZTXWOM9MR,1681799,male,39,yes,n/a
6,A248QG4DPULP46,1568271,female,66,yes,
7,A2615YW1YERQBO,2080449,male,56,yes,none
8,A2B153AHPWHLH1,1589493,male,55,yes,Everything was fine.
9,A2FGKKWP33DFWS,1288146,male,53,yes,
10,A2I43BDUPAM00C,1185232,female,43,yes,none
11,A2IQ0QCTQ3KWLT,1629559,female,51,yes,
12,A2JDYN6QM8M5UN,2233314,male,28,yes,"For some reason I had a really hard time with one of the instructions questions, which led to me questioning all the other ones. It's probably just a me problem but I feel like that one could be worded better."
13,A2KLJKDG90K1PP,1653776,male,55,yes,
14,A2MWAXV1YRK5GH,1313375,female,71,yes,
15,A2QTL039A5VV3I,1929774,male,31,yes,
16,A2VAL2BRKVSUB5,2189581,male,45,yes,MTURK ID:  A2VAL2BRKVSUB5
17,A2VZBQLSFZC519,2703673,female,24,yes,
18,A34SIGOLUGKIHJ,2888126,male,38,yes,"Thanks for the opportunity, I love doing things where I get to work with averages on the fly. Please have a nice day."
19,A34YDGVZKRJ0LZ,1409222,female,50,yes,n/a
20,A3RMV9ZGFJ0HHF,1295551,female,40,yes,
21,A3V2XCDF45VN9X,2012251,male,46,yes,none
22,A9LSEP71DNP4O,1044852,male,36,yes,None
23,AH7Z2M3KSQ4DW,1518261,female,35,yes,N/A
24,AJF954955YWZG,838900,female,34,yes,
25,AKNQ0ZU1MXN1T,3848761,male,41,yes,None
26,AMV1E7FFPVAW4,3881173,female,42,yes,
27,ARUXG5FD1Q76F,1651636,male,42,yes,
28,ASC9DUCC64M3P,1236904,female,56,yes,
29,AZNIEFUIVB2H0,1851541,male,54,yes,
