subject_id,trial_num,lesson_num,sequential,feedback,teacher_knowledge,theta,student_prior,n_majority,n_turtles
1c44a06f10b74d67471ce9fe05cd3b1f,0,lesson1,sequential,feedback,partial,0.7,too_low,4,8
1c44a06f10b74d67471ce9fe05cd3b1f,0,lesson2,sequential,feedback,partial,0.7,too_low,7,9
1c44a06f10b74d67471ce9fe05cd3b1f,1,lesson1,sequential,no_feedback,partial,0.7,too_high,9,10
1c44a06f10b74d67471ce9fe05cd3b1f,1,lesson2,sequential,no_feedback,partial,0.7,too_high,6,7
1c44a06f10b74d67471ce9fe05cd3b1f,2,lesson1,sequential,no_feedback,partial,0.7,too_low,8,9
1c44a06f10b74d67471ce9fe05cd3b1f,2,lesson2,sequential,no_feedback,partial,0.7,too_low,5,6
1c44a06f10b74d67471ce9fe05cd3b1f,3,lesson1,sequential,feedback,partial,0.7,too_low,7,9
1c44a06f10b74d67471ce9fe05cd3b1f,3,lesson2,sequential,feedback,partial,0.7,too_low,9,10
1c44a06f10b74d67471ce9fe05cd3b1f,4,lesson1,non_sequential,no_feedback,full,0.7,too_low,8,9
1c44a06f10b74d67471ce9fe05cd3b1f,5,lesson1,non_sequential,no_feedback,partial,0.7,too_low,10,12
1c44a06f10b74d67471ce9fe05cd3b1f,6,lesson1,non_sequential,no_feedback,full,0.7,too_low,9,9
1c44a06f10b74d67471ce9fe05cd3b1f,7,lesson1,sequential,feedback,partial,0.7,too_high,6,12
1c44a06f10b74d67471ce9fe05cd3b1f,7,lesson2,sequential,feedback,partial,0.7,too_high,1,2
1c44a06f10b74d67471ce9fe05cd3b1f,8,lesson1,non_sequential,no_feedback,full,0.7,too_high,9,10
1c44a06f10b74d67471ce9fe05cd3b1f,9,lesson1,non_sequential,no_feedback,partial,0.7,too_high,7,8
1c44a06f10b74d67471ce9fe05cd3b1f,10,lesson1,sequential,no_feedback,partial,0.7,too_low,9,11
1c44a06f10b74d67471ce9fe05cd3b1f,10,lesson2,sequential,no_feedback,partial,0.7,too_low,3,4
1c44a06f10b74d67471ce9fe05cd3b1f,11,lesson1,non_sequential,no_feedback,full,0.7,too_high,7,9
1c44a06f10b74d67471ce9fe05cd3b1f,12,lesson1,non_sequential,no_feedback,partial,0.7,too_low,1,3
1c44a06f10b74d67471ce9fe05cd3b1f,13,lesson1,sequential,feedback,partial,0.7,too_high,6,8
1c44a06f10b74d67471ce9fe05cd3b1f,13,lesson2,sequential,feedback,partial,0.7,too_high,2,8
1c44a06f10b74d67471ce9fe05cd3b1f,14,lesson1,non_sequential,no_feedback,partial,0.7,too_high,6,8
1c44a06f10b74d67471ce9fe05cd3b1f,15,lesson1,sequential,no_feedback,partial,0.7,too_high,6,8
