subject_id,island_idx,block_type,theta,student_a,student_b,first_examples_a,first_examples_b,guess,first_guess,teacher_knowledge,second_examples_a,second_examples_b,final_guess
0588f4985fe8828b0ab3cc7b9047e4f8,0,full,0.3,9,1,2,3,1,0.7,0.24,5,0,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,1,full,0.7,9,1,1,4,0,NA,0.13,3,2,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,2,full,0.3,9,1,4,1,1,0.7,0.75,5,0,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,3,partial,0.7,9,1,5,0,0,NA,0.89,5,0,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,4,partial,0.7,9,1,0,5,0,NA,0.27,5,0,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,5,full,0.3,9,1,2,3,1,0.7,0.52,0,5,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,6,partial,0.7,9,1,4,1,0,NA,0.72,5,0,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,7,full,0.7,9,1,3,2,1,0.7,0.52,1,4,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,8,partial,0.3,9,1,5,0,0,NA,0.88,3,2,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,9,full,0.3,9,1,1,4,0,NA,0.27,5,0,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,10,partial,0.3,9,1,3,2,0,NA,0.52,5,0,0.7
0588f4985fe8828b0ab3cc7b9047e4f8,11,partial,0.7,9,1,0,5,1,0.7,0.23,1,4,0.7
ec6f55f453004a75b4a0fe8a0df46a79,0,partial,0.7,9,1,3,2,1,0.7,0.22,1,4,0.7
ec6f55f453004a75b4a0fe8a0df46a79,1,partial,0.7,9,1,5,0,1,0.7,0.94,0,5,0.7
ec6f55f453004a75b4a0fe8a0df46a79,2,partial,0.3,9,1,5,0,1,0.7,0.9,0,5,0.7
ec6f55f453004a75b4a0fe8a0df46a79,3,partial,0.7,9,1,1,4,0,NA,0.1,1,4,0.7
ec6f55f453004a75b4a0fe8a0df46a79,4,partial,0.7,9,1,3,2,1,0.7,0,2,3,0.7
ec6f55f453004a75b4a0fe8a0df46a79,5,partial,0.7,9,1,4,1,1,0.7,1,3,2,0.7
ec6f55f453004a75b4a0fe8a0df46a79,6,full,0.7,9,1,2,3,1,0.7,0.93,2,3,0.7
ec6f55f453004a75b4a0fe8a0df46a79,7,full,0.3,9,1,4,1,0,NA,0,2,3,0.7
ec6f55f453004a75b4a0fe8a0df46a79,8,partial,0.3,9,1,1,4,0,NA,0.99,5,0,0.3
ec6f55f453004a75b4a0fe8a0df46a79,9,full,0.7,9,1,0,5,1,0.7,1,2,3,0.7
ec6f55f453004a75b4a0fe8a0df46a79,10,full,0.3,9,1,2,3,1,0.7,0,0,5,0.3
