,subject_id,time_elapsed,gender,age,understood,total_bonus,comments,strategy,n_attention_passed
0,A11FFJZ0C984W4,546158,female,28,yes,5.0,No.,"I'd kind of add up what I saw with what the teacher said and looked to see if it was more of a 3:7 ratio or a 7:3 ratio. I was never very certain if the teacher knew what I'd seen, but if I didn't have a ratio around 3:7 or 7:3 then I thought they probably hadn't known.",2
1,A19TD2J8506A4Y,1436273,male,46,yes,2.7,"Number of turtles shown by the teacher should not be extreme, 10","I took into account how many turtles I saw initially, compared to what the teacher showed me. I took into account what the teacher showed me when paying $.20 for a hint.",2
2,A1B6B8EG4EJ3MO,833230,male,29,yes,4.5,Fun study!,I just tried to figure out the total ratio of turtles,2
3,A1C5SQZ045W0L5,498285,male,31,yes,4.0,cool,went with probability,2
4,A1DC5O5XEIMM1M,1752448,female,42,yes,2.1,nice study ,no,1
5,A1I7H6RDJS4EKN,1125913,male,67,yes,3.8,,If the teacher showed me all 10 of one color then he knew I saw 9 of the other color and I could safely pick the color the teacher showed. Otherwise invest the 20 cents and inform the teacher what I had seen by guessing that color and then get the needed affirmation from him.teacher,2
6,A1IFIK8J49WBER,1226966,female,60,yes,4.1,,I used what the number of orange or purple turtles I was shown at the beginning more and then the number that the teacher showed me and went with the one that had the majority,2
7,A1ILD5BPLI8X1P,733200,male,27,yes,4.3,,"I didn't really have one, I just tried to determine what option looked the best between both times the teacher showed me everything.",2
8,A1JI19KPIVNL3Y,583799,male,45,yes,4.0,,I decided I would go based on averages of turtles between both lessons.,2
9,A1S2EXYEG5I8HW,575782,female,30,yes,5.0,,I followed the teachers info since they had the correct answer instead of trusting what I saw when walking around,2
10,A1T3ROSW2LC4FG,408743,female,54,yes,3.8,none,observation,2
11,A1V2H0UF94ATWY,621610,male,63,yes,4.3,,treated my teachers as wanting to be helpful,2
12,A1W1X3S1Y0RKF3,576543,male,33,yes,4.5,None,"I assumed the teacher would only show an overwhelming number of a particular color of turtle if they were trying to change my initial impression, meaning that they did know what I know. Also, I tended to take the teacher's lessons more into account than what I saw when I arrived.",2
13,A1WH32GYQOHIRQ,945436,female,57,yes,3.3,,Just tried to look at how many of each color there was to guess how many I'd expect.,2
14,A1WI88CH4BTDDR,828187,male,24,yes,5.0,Enjoyed the study,I combined my observation with the teacher's information and made a guess,2
15,A1YZ0ETOCJO1B2,807871,male,38,yes,2.7,,"I simply went with my ""gut instinct"" about whether I thought the teacher knew what he/she was talking about when making my choices in the study.",2
16,A248QG4DPULP46,928952,female,66,yes,4.5,,I waited until Lesson 2 and compared all the information provided. I selected the answer which seemed most likely to be correct. ,2
17,A2615YW1YERQBO,971350,male,57,yes,4.6,"I don't understand why it would matter to me whether the teachers ""knows"" what I saw",I used what I thought was common sense.,2
