,subject_id,student_idx,block_type,trial_num,true_theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus
0,A13FUEPWBCLBUY,0,seqNoFeedback,0,0.5,8,2,D,5,1,,,
1,A13FUEPWBCLBUY,0,seqNoFeedback,1,0.5,8,2,D,3,3,0.7272727272727273,0.2272727272727273,0.0
2,A13FUEPWBCLBUY,1,nonSeqPartial,0,0.8,1,4,A,5,0,0.6,0.20000000000000007,0.0
3,A13FUEPWBCLBUY,2,nonSeqFull,0,0.8,4,1,B,8,0,0.9230769230769231,0.12307692307692308,0.0
4,A13FUEPWBCLBUY,3,nonSeqFull,0,0.2,4,1,B,2,8,0.4,0.2,0.0
5,A13FUEPWBCLBUY,4,seqFeedback,0,0.8,8,2,D,8,2,0.8,,
6,A13FUEPWBCLBUY,4,seqFeedback,1,0.8,8,2,D,8,2,0.8,0.0,0.1
7,A13FUEPWBCLBUY,5,seqFeedback,0,0.5,1,4,A,5,5,0.4,,
8,A13FUEPWBCLBUY,5,seqFeedback,1,0.5,1,4,A,5,5,0.44,0.06,0.0
9,A13FUEPWBCLBUY,6,seqNoFeedback,0,0.2,8,2,D,2,8,,,
10,A13FUEPWBCLBUY,6,seqNoFeedback,1,0.2,8,2,D,2,8,0.4,0.2,0.0
11,A13FUEPWBCLBUY,7,seqNoFeedback,0,0.8,4,1,B,8,1,,,
12,A13FUEPWBCLBUY,7,seqNoFeedback,1,0.8,4,1,B,6,1,0.8571428571428571,0.05714285714285705,0.0
13,A13FUEPWBCLBUY,8,seqFeedback,0,0.8,1,4,A,6,1,0.5833333333333334,,
14,A13FUEPWBCLBUY,8,seqFeedback,1,0.8,1,4,A,8,1,0.7142857142857143,0.08571428571428574,0.0
15,A13FUEPWBCLBUY,9,nonSeqFull,0,0.5,8,2,D,3,3,0.6875,0.1875,0.0
16,A13FUEPWBCLBUY,10,seqFeedback,0,0.5,8,2,D,4,4,0.6666666666666666,,
17,A13FUEPWBCLBUY,10,seqFeedback,1,0.5,8,2,D,5,5,0.6071428571428571,0.1071428571428571,0.0
18,A13FUEPWBCLBUY,11,seqNoFeedback,0,0.8,8,2,D,6,1,,,
19,A13FUEPWBCLBUY,11,seqNoFeedback,1,0.8,8,2,D,8,2,0.8148148148148148,0.014814814814814725,0.16
