,subject_id,student_idx,block_type,trial_num,true_theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood
0,A10249252O9I20MRSOBVF,0,nonSeqFull,0,0.7,1,9,A,3,1,0.29,0.41,0.0,0.98,yes
1,A10249252O9I20MRSOBVF,1,nonSeqPartial,0,0.3,9,1,B,2,4,0.69,0.38999999999999996,0.0,0.98,yes
2,A10249252O9I20MRSOBVF,2,seqFeedback,0,0.7,1,9,A,5,1,0.38,,,0.98,yes
3,A10249252O9I20MRSOBVF,2,seqFeedback,1,0.7,1,9,A,4,0,0.50,0.19999999999999996,0.0,0.98,yes
4,A10249252O9I20MRSOBVF,3,seqNoFeedback,0,0.3,9,1,B,1,3,,,,0.98,yes
5,A10249252O9I20MRSOBVF,3,seqNoFeedback,1,0.3,9,1,B,1,4,0.58,0.27999999999999997,0.0,0.98,yes
6,A10249252O9I20MRSOBVF,4,nonSeqFull,0,0.3,9,1,B,4,6,0.65,0.35000000000000003,0.0,0.98,yes
7,A10249252O9I20MRSOBVF,5,seqFeedback,0,0.3,1,9,A,3,7,0.20,,,0.98,yes
8,A10249252O9I20MRSOBVF,5,seqFeedback,1,0.3,1,9,A,4,6,0.27,0.02999999999999997,0.5,0.98,yes
9,A10249252O9I20MRSOBVF,6,nonSeqPartial,0,0.7,9,1,B,6,3,0.79,0.09000000000000008,0.0,0.98,yes
10,A10249252O9I20MRSOBVF,7,seqNoFeedback,0,0.7,9,1,B,8,3,,,,0.98,yes
11,A10249252O9I20MRSOBVF,7,seqNoFeedback,1,0.7,9,1,B,8,3,0.78,0.08000000000000007,0.48,0.98,yes
12,A1AZTE5W2MF1TU,0,nonSeqPartial,0,0.7,1,9,A,4,1,0.33,0.36999999999999994,0.0,0.0,yes
13,A1AZTE5W2MF1TU,1,seqFeedback,0,0.7,1,9,A,4,1,0.33,,,0.0,yes
14,A1AZTE5W2MF1TU,1,seqFeedback,1,0.7,1,9,A,9,1,0.56,0.1399999999999999,0.0,0.0,yes
15,A1AZTE5W2MF1TU,2,seqFeedback,0,0.3,1,9,A,3,7,0.20,,,0.0,yes
16,A1AZTE5W2MF1TU,2,seqFeedback,1,0.3,1,9,A,3,20,0.16,0.13999999999999999,0.0,0.0,yes
