,subject_id,student_idx,block_type,trial_num,true_theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood
0,A1P0XSCJ9XAV74,0,seqNoFeedback,0,0.7,9,1,B,4,1,,,,0.37,no
1,A1P0XSCJ9XAV74,0,seqNoFeedback,1,0.7,9,1,B,5,2,0.82,0.12,0.0,0.37,no
2,A1P0XSCJ9XAV74,1,seqFeedback,0,0.3,9,1,B,1,3,0.71,,,0.37,no
3,A1P0XSCJ9XAV74,1,seqFeedback,1,0.3,9,1,B,0,0,0.71,0.41,0.0,0.37,no
4,A1P0XSCJ9XAV74,2,nonSeqFull,0,0.3,9,1,B,30,40,0.49,0.19,0.0,0.37,no
5,A1P0XSCJ9XAV74,3,seqNoFeedback,0,0.7,1,9,A,40,10,,,,0.37,no
6,A1P0XSCJ9XAV74,3,seqNoFeedback,1,0.7,1,9,A,30,10,0.71,0.010000000000000009,0.0,0.37,no
7,A1P0XSCJ9XAV74,4,nonSeqFull,0,0.7,9,1,B,49,0,0.98,0.28,0.0,0.37,no
8,A1P0XSCJ9XAV74,5,nonSeqPartial,0,0.3,9,1,B,25,0,0.97,0.6699999999999999,0.0,0.37,no
9,A1P0XSCJ9XAV74,6,seqFeedback,0,0.7,9,1,B,0,0,0.90,,,0.37,no
10,A1P0XSCJ9XAV74,6,seqFeedback,1,0.7,9,1,B,7,3,0.80,0.10000000000000009,0.0,0.37,no
11,A1P0XSCJ9XAV74,7,nonSeqFull,0,0.3,1,9,A,21,49,0.28,0.019999999999999962,0.0,0.37,no
12,A1P0XSCJ9XAV74,8,nonSeqFull,0,0.7,1,9,A,39,15,0.63,0.06999999999999995,0.16,0.37,no
13,A1P0XSCJ9XAV74,9,nonSeqPartial,0,0.3,1,9,A,20,40,0.30,0.0,0.1,0.37,no
14,A1P0XSCJ9XAV74,10,seqNoFeedback,0,0.3,1,9,A,20,47,,,,0.37,no
15,A1P0XSCJ9XAV74,10,seqNoFeedback,1,0.3,1,9,A,19,47,0.28,0.019999999999999962,0.0,0.37,no
16,A1P0XSCJ9XAV74,11,seqNoFeedback,0,0.3,9,1,B,12,40,,,,0.37,no
17,A1P0XSCJ9XAV74,11,seqNoFeedback,1,0.3,9,1,B,19,46,0.31,0.010000000000000009,0.0,0.37,no
18,A1P0XSCJ9XAV74,12,nonSeqPartial,0,0.7,1,9,A,40,18,0.60,0.09999999999999998,0.0,0.37,no
19,A1P0XSCJ9XAV74,13,seqFeedback,0,0.3,1,9,A,20,48,0.27,,,0.37,no
20,A1P0XSCJ9XAV74,13,seqFeedback,1,0.3,1,9,A,20,41,0.29,0.010000000000000009,0.0,0.37,no
21,A1P0XSCJ9XAV74,14,seqFeedback,0,0.7,1,9,A,40,20,0.59,,,0.37,no
22,A1P0XSCJ9XAV74,14,seqFeedback,1,0.7,1,9,A,40,18,0.63,0.06999999999999995,0.0,0.37,no
23,A1P0XSCJ9XAV74,15,nonSeqPartial,0,0.7,9,1,B,40,19,0.71,0.010000000000000009,0.11,0.37,no
24,A1YZ0ETOCJO1B2,0,nonSeqFull,0,0.7,9,1,B,0,0,0.90,0.20000000000000007,0.0,0.5,yes
25,A1YZ0ETOCJO1B2,1,nonSeqFull,0,0.7,1,9,A,7,3,0.40,0.29999999999999993,0.0,0.5,yes
26,A1YZ0ETOCJO1B2,2,nonSeqPartial,0,0.7,1,9,A,70,0,0.89,0.19000000000000006,0.0,0.5,yes
27,A1YZ0ETOCJO1B2,3,nonSeqPartial,0,0.3,9,1,B,0,70,0.11,0.19,0.0,0.5,yes
28,A1YZ0ETOCJO1B2,4,nonSeqFull,0,0.3,1,9,A,21,0,0.71,0.41,0.0,0.5,yes
29,A1YZ0ETOCJO1B2,5,seqNoFeedback,0,0.3,1,9,A,3,7,,,,0.5,yes
30,A1YZ0ETOCJO1B2,5,seqNoFeedback,1,0.3,1,9,A,3,7,0.23,0.06999999999999998,0.5,0.5,yes
31,A1YZ0ETOCJO1B2,6,nonSeqPartial,0,0.3,1,9,A,3,7,0.20,0.09999999999999998,0.0,0.5,yes
32,A1YZ0ETOCJO1B2,7,seqNoFeedback,0,0.7,1,9,A,49,21,,,,0.5,yes
33,A1YZ0ETOCJO1B2,7,seqNoFeedback,1,0.7,1,9,A,7,3,0.63,0.06999999999999995,0.0,0.5,yes
34,A1YZ0ETOCJO1B2,8,seqFeedback,0,0.3,9,1,B,21,49,0.38,,,0.5,yes
35,A1YZ0ETOCJO1B2,8,seqFeedback,1,0.3,9,1,B,3,7,0.37,0.07,0.0,0.5,yes
36,A1YZ0ETOCJO1B2,9,nonSeqFull,0,0.3,9,1,B,3,7,0.60,0.3,0.0,0.5,yes
37,A1YZ0ETOCJO1B2,10,seqNoFeedback,0,0.7,9,1,B,21,49,,,,0.5,yes
38,A1YZ0ETOCJO1B2,10,seqNoFeedback,1,0.7,9,1,B,7,3,0.41,0.29,0.0,0.5,yes
39,A1YZ0ETOCJO1B2,11,seqFeedback,0,0.3,1,9,A,21,49,0.28,,,0.5,yes
40,A1YZ0ETOCJO1B2,11,seqFeedback,1,0.3,1,9,A,3,7,0.28,0.019999999999999962,0.0,0.5,yes
41,A1YZ0ETOCJO1B2,12,seqNoFeedback,0,0.3,9,1,B,21,49,,,,0.5,yes
42,A1YZ0ETOCJO1B2,12,seqNoFeedback,1,0.3,9,1,B,3,7,0.37,0.07,0.0,0.5,yes
43,A1YZ0ETOCJO1B2,13,nonSeqPartial,0,0.7,9,1,B,40,0,0.98,0.28,0.0,0.5,yes
44,A1YZ0ETOCJO1B2,14,seqFeedback,0,0.7,1,9,A,70,0,0.89,,,0.5,yes
45,A1YZ0ETOCJO1B2,14,seqFeedback,1,0.7,1,9,A,0,20,0.71,0.010000000000000009,0.0,0.5,yes
46,A1YZ0ETOCJO1B2,15,seqFeedback,0,0.7,9,1,B,60,10,0.86,,,0.5,yes
47,A1YZ0ETOCJO1B2,15,seqFeedback,1,0.7,9,1,B,7,3,0.84,0.14,0.0,0.5,yes
48,A2NA6X1SON3KFH,0,seqNoFeedback,0,0.7,9,1,B,0,0,,,,0.6,yes
49,A2NA6X1SON3KFH,0,seqNoFeedback,1,0.7,9,1,B,7,3,0.80,0.10000000000000009,0.0,0.6,yes
50,A2NA6X1SON3KFH,1,seqFeedback,0,0.7,9,1,B,7,3,0.80,,,0.6,yes
51,A2NA6X1SON3KFH,1,seqFeedback,1,0.7,9,1,B,8,2,0.80,0.10000000000000009,0.0,0.6,yes
52,A2NA6X1SON3KFH,2,seqFeedback,0,0.7,1,9,A,8,2,0.45,,,0.6,yes
53,A2NA6X1SON3KFH,2,seqFeedback,1,0.7,1,9,A,70,30,0.66,0.039999999999999925,0.0,0.6,yes
54,A2NA6X1SON3KFH,2,seqFeedback,1,0.7,1,9,A,0,0,0.45,0.24999999999999994,0.0,0.6,yes
55,A2NA6X1SON3KFH,3,seqNoFeedback,0,0.3,1,9,A,2,8,,,,0.6,yes
56,A2NA6X1SON3KFH,3,seqNoFeedback,1,0.3,1,9,A,3,7,0.20,0.09999999999999998,0.0,0.6,yes
57,A2NA6X1SON3KFH,4,seqNoFeedback,0,0.7,1,9,A,8,2,,,,0.6,yes
58,A2NA6X1SON3KFH,4,seqNoFeedback,1,0.7,1,9,A,9,1,0.60,0.09999999999999998,0.0,0.6,yes
59,A2NA6X1SON3KFH,5,nonSeqFull,0,0.7,1,9,A,9,1,0.50,0.19999999999999996,0.0,0.6,yes
60,A2NA6X1SON3KFH,6,seqNoFeedback,0,0.3,9,1,B,4,6,,,,0.6,yes
61,A2NA6X1SON3KFH,6,seqNoFeedback,1,0.3,9,1,B,4,6,0.57,0.26999999999999996,0.0,0.6,yes
62,A2NA6X1SON3KFH,7,nonSeqFull,0,0.3,9,1,B,30,70,0.35,0.04999999999999999,0.0,0.6,yes
63,A2NA6X1SON3KFH,7,nonSeqFull,0,0.3,9,1,B,30,70,0.35,0.04999999999999999,0.0,0.6,yes
64,A2NA6X1SON3KFH,7,nonSeqFull,0,0.3,9,1,B,0,0,0.90,0.6000000000000001,0.0,0.6,yes
65,A2NA6X1SON3KFH,8,seqFeedback,0,0.3,1,9,A,30,70,0.28,,,0.6,yes
66,A2NA6X1SON3KFH,8,seqFeedback,0,0.3,1,9,A,3,7,0.20,,,0.6,yes
67,A2NA6X1SON3KFH,8,seqFeedback,1,0.3,1,9,A,40,60,0.34,0.040000000000000036,0.0,0.6,yes
68,A2NA6X1SON3KFH,8,seqFeedback,1,0.3,1,9,A,4,6,0.29,0.010000000000000009,0.0,0.6,yes
69,A2NA6X1SON3KFH,9,nonSeqFull,0,0.7,9,1,B,8,2,0.85,0.15000000000000002,0.0,0.6,yes
70,A2NA6X1SON3KFH,10,nonSeqPartial,0,0.7,1,9,A,8,2,0.45,0.24999999999999994,0.0,0.6,yes
71,A2NA6X1SON3KFH,11,nonSeqPartial,0,0.3,1,9,A,0,10,0.05,0.25,0.0,0.6,yes
72,A2NA6X1SON3KFH,12,nonSeqPartial,0,0.3,9,1,B,1,9,0.50,0.2,0.0,0.6,yes
73,A2NA6X1SON3KFH,13,nonSeqPartial,0,0.7,9,1,B,7,3,0.80,0.10000000000000009,0.0,0.6,yes
74,A2NA6X1SON3KFH,14,nonSeqFull,0,0.3,1,9,A,4,6,0.25,0.04999999999999999,0.6,0.6,yes
75,A2NA6X1SON3KFH,15,seqFeedback,0,0.3,9,1,B,2,8,0.55,,,0.6,yes
76,A2NA6X1SON3KFH,15,seqFeedback,1,0.3,9,1,B,1,9,0.40,0.10000000000000003,0.0,0.6,yes
77,AJQ71YIGY01HZ,0,nonSeqFull,0,0.7,9,1,B,7,3,0.80,0.10000000000000009,0.0,0.54,yes
78,AJQ71YIGY01HZ,1,nonSeqFull,0,0.3,1,9,A,1,3,0.14,0.15999999999999998,0.0,0.54,yes
79,AJQ71YIGY01HZ,2,nonSeqPartial,0,0.3,9,1,B,1,4,0.67,0.37000000000000005,0.0,0.54,yes
80,AJQ71YIGY01HZ,3,seqFeedback,0,0.7,9,1,B,3,0,0.92,,,0.54,yes
81,AJQ71YIGY01HZ,3,seqFeedback,1,0.7,9,1,B,0,0,0.92,0.22000000000000008,0.0,0.54,yes
82,AJQ71YIGY01HZ,4,nonSeqFull,0,0.3,9,1,B,0,4,0.64,0.34,0.0,0.54,yes
83,AJQ71YIGY01HZ,5,seqFeedback,0,0.7,1,9,A,4,1,0.33,,,0.54,yes
84,AJQ71YIGY01HZ,5,seqFeedback,1,0.7,1,9,A,5,0,0.50,0.19999999999999996,0.0,0.54,yes
85,AJQ71YIGY01HZ,6,nonSeqFull,0,0.7,1,9,A,5,0,0.40,0.29999999999999993,0.0,0.54,yes
86,AJQ71YIGY01HZ,7,nonSeqPartial,0,0.3,1,9,A,0,6,0.06,0.24,0.0,0.54,yes
87,AJQ71YIGY01HZ,8,seqFeedback,0,0.3,1,9,A,3,5,0.22,,,0.54,yes
88,AJQ71YIGY01HZ,8,seqFeedback,1,0.3,1,9,A,3,5,0.27,0.02999999999999997,0.54,0.54,yes
89,AJQ71YIGY01HZ,9,seqNoFeedback,0,0.3,9,1,B,2,5,,,,0.54,yes
90,AJQ71YIGY01HZ,9,seqNoFeedback,1,0.3,9,1,B,1,5,0.52,0.22000000000000003,0.0,0.54,yes
91,AJQ71YIGY01HZ,10,nonSeqPartial,0,0.7,1,9,A,6,0,0.44,0.25999999999999995,0.0,0.54,yes
92,AJQ71YIGY01HZ,11,seqNoFeedback,0,0.7,9,1,B,6,1,,,,0.54,yes
93,AJQ71YIGY01HZ,11,seqNoFeedback,1,0.7,9,1,B,6,1,0.88,0.18000000000000005,0.0,0.54,yes
94,AJQ71YIGY01HZ,12,seqNoFeedback,0,0.7,1,9,A,6,0,,,,0.54,yes
95,AJQ71YIGY01HZ,12,seqNoFeedback,1,0.7,1,9,A,7,0,0.61,0.08999999999999997,0.0,0.54,yes
96,AJQ71YIGY01HZ,13,seqFeedback,0,0.3,9,1,B,2,6,0.61,,,0.54,yes
97,AJQ71YIGY01HZ,13,seqFeedback,1,0.3,9,1,B,3,6,0.52,0.22000000000000003,0.0,0.54,yes
98,AJQ71YIGY01HZ,14,nonSeqPartial,0,0.7,9,1,B,3,1,0.86,0.16000000000000003,0.0,0.54,yes
99,AJQ71YIGY01HZ,15,seqNoFeedback,0,0.3,1,9,A,1,5,,,,0.54,yes
100,AJQ71YIGY01HZ,15,seqNoFeedback,1,0.3,1,9,A,1,7,0.13,0.16999999999999998,0.0,0.54,yes
