,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,n_attention_passed,total_ex,mean,normalized_mean,normalized_theta
0,A110KENBXU7SUJ,0,seqFeedback,0,0.3,9,1,B,4,4,0.72,,,1.1,yes,3,8,0.5,0.5,0.7
1,A110KENBXU7SUJ,0,seqFeedback,1,0.3,9,1,B,2,7,0.56,0.26000000000000006,0.0,1.1,yes,3,9,0.2222222222222222,0.7777777777777778,0.7
2,A110KENBXU7SUJ,1,seqNoFeedback,0,0.7,9,1,B,9,1,,,,1.1,yes,3,10,0.9,0.09999999999999998,0.3
3,A110KENBXU7SUJ,1,seqNoFeedback,1,0.7,9,1,B,6,1,0.89,0.19000000000000006,0.0,1.1,yes,3,7,0.8571428571428571,0.1428571428571429,0.3
4,A110KENBXU7SUJ,2,seqNoFeedback,0,0.3,9,1,B,1,8,,,,1.1,yes,3,9,0.1111111111111111,0.8888888888888888,0.7
5,A110KENBXU7SUJ,2,seqNoFeedback,1,0.3,9,1,B,1,5,0.44,0.14,0.0,1.1,yes,3,6,0.16666666666666666,0.8333333333333334,0.7
6,A110KENBXU7SUJ,3,seqFeedback,0,0.7,1,9,A,7,2,0.42,,,1.1,yes,3,9,0.7777777777777778,0.7777777777777778,0.7
7,A110KENBXU7SUJ,3,seqFeedback,1,0.7,1,9,A,9,1,0.59,0.10999999999999999,0.0,1.1,yes,3,10,0.9,0.9,0.7
8,A110KENBXU7SUJ,4,nonSeqFull,0,0.3,9,1,B,1,8,0.53,0.23000000000000004,0.0,1.1,yes,3,9,0.1111111111111111,0.8888888888888888,0.7
9,A110KENBXU7SUJ,5,nonSeqPartial,0,0.3,9,1,B,2,10,0.50,0.2,0.0,1.1,yes,3,12,0.16666666666666666,0.8333333333333334,0.7
10,A110KENBXU7SUJ,6,nonSeqFull,0,0.7,1,9,A,9,0,0.53,0.16999999999999993,0.0,1.1,yes,3,9,1.0,1.0,0.7
11,A110KENBXU7SUJ,7,seqFeedback,0,0.3,1,9,A,6,6,0.32,,,1.1,yes,3,12,0.5,0.5,0.3
12,A110KENBXU7SUJ,7,seqFeedback,1,0.3,1,9,A,1,1,0.33,0.030000000000000027,0.56,1.1,yes,3,2,0.5,0.5,0.3
13,A110KENBXU7SUJ,8,nonSeqFull,0,0.3,1,9,A,1,9,0.10,0.19999999999999998,0.0,1.1,yes,3,10,0.1,0.1,0.3
14,A110KENBXU7SUJ,9,nonSeqPartial,0,0.7,9,1,B,7,1,0.89,0.19000000000000006,0.0,1.1,yes,3,8,0.875,0.125,0.3
15,A110KENBXU7SUJ,10,seqNoFeedback,0,0.7,1,9,A,9,2,,,,1.1,yes,3,11,0.8181818181818182,0.8181818181818182,0.7
16,A110KENBXU7SUJ,10,seqNoFeedback,1,0.7,1,9,A,3,1,0.52,0.17999999999999994,0.0,1.1,yes,3,4,0.75,0.75,0.7
17,A110KENBXU7SUJ,11,nonSeqFull,0,0.7,9,1,B,7,2,0.84,0.14,0.0,1.1,yes,3,9,0.7777777777777778,0.2222222222222222,0.3
18,A110KENBXU7SUJ,12,nonSeqPartial,0,0.7,1,9,A,1,2,0.15,0.5499999999999999,0.0,1.1,yes,3,3,0.3333333333333333,0.3333333333333333,0.7
19,A110KENBXU7SUJ,13,seqFeedback,0,0.7,9,1,B,6,2,0.83,,,1.1,yes,3,8,0.75,0.25,0.3
20,A110KENBXU7SUJ,13,seqFeedback,1,0.7,9,1,B,2,6,0.65,0.04999999999999993,0.54,1.1,yes,3,8,0.25,0.75,0.3
21,A110KENBXU7SUJ,14,nonSeqPartial,0,0.3,1,9,A,2,6,0.17,0.12999999999999998,0.0,1.1,yes,3,8,0.25,0.25,0.3
22,A110KENBXU7SUJ,15,seqNoFeedback,0,0.3,1,9,A,2,6,,,,1.1,yes,3,8,0.25,0.25,0.3
23,A110KENBXU7SUJ,15,seqNoFeedback,1,0.3,1,9,A,1,3,0.18,0.12,0.0,1.1,yes,3,4,0.25,0.25,0.3
24,A11BACV6DY5S8M,0,seqFeedback,0,0.3,9,1,B,2,0,0.92,,,5.24,yes,3,2,1.0,0.0,0.7
25,A11BACV6DY5S8M,0,seqFeedback,1,0.3,9,1,B,2,5,0.68,0.38000000000000006,0.0,5.24,yes,3,7,0.2857142857142857,0.7142857142857143,0.7
26,A11BACV6DY5S8M,1,seqFeedback,0,0.7,1,9,A,13,0,0.61,,,5.24,yes,3,13,1.0,1.0,0.7
27,A11BACV6DY5S8M,1,seqFeedback,1,0.7,1,9,A,16,0,0.77,0.07000000000000006,0.41,5.24,yes,3,16,1.0,1.0,0.7
28,A11BACV6DY5S8M,2,nonSeqFull,0,0.7,1,9,A,20,0,0.70,0.0,0.5,5.24,yes,3,20,1.0,1.0,0.7
29,A11BACV6DY5S8M,3,seqNoFeedback,0,0.7,1,9,A,21,0,,,,5.24,yes,3,21,1.0,1.0,0.7
30,A11BACV6DY5S8M,3,seqNoFeedback,1,0.7,1,9,A,22,0,0.83,0.13,0.0,5.24,yes,3,22,1.0,1.0,0.7
31,A11BACV6DY5S8M,4,seqFeedback,0,0.7,9,1,B,27,0,0.97,,,5.24,yes,3,27,1.0,0.0,0.3
32,A11BACV6DY5S8M,4,seqFeedback,1,0.7,9,1,B,15,0,0.98,0.28,0.0,5.24,yes,3,15,1.0,0.0,0.3
33,A11BACV6DY5S8M,5,nonSeqFull,0,0.7,9,1,B,1,2,0.77,0.07000000000000006,0.67,5.24,yes,3,3,0.3333333333333333,0.6666666666666667,0.3
34,A11BACV6DY5S8M,6,seqNoFeedback,0,0.3,1,9,A,2,1,,,,5.24,yes,3,3,0.6666666666666666,0.6666666666666666,0.3
