subject_id,alpha,costWeight,block_type,trial_num,theta,student_class,heads,tails
0,8,0.001,seqFeedback,0,0.3,A,8,11
0,8,0.001,seqFeedback,1,0.3,A,14,23
0,8,0.001,seqFeedback,0,0.3,B,9,42
0,8,0.001,seqFeedback,1,0.3,B,19,42
0,8,0.001,seqFeedback,0,0.7,A,39,9
0,8,0.001,seqFeedback,1,0.7,A,28,10
0,8,0.001,seqFeedback,0,0.7,B,35,22
0,8,0.001,seqFeedback,1,0.7,B,17,4
0,8,0.001,nonSeqFull,0,0.3,A,12,18
0,8,0.001,nonSeqFull,0,0.3,B,0,21
0,8,0.001,nonSeqFull,0,0.7,A,52,12
0,8,0.001,nonSeqFull,0,0.7,B,40,20
0,8,0.001,nonSeqPartial,0,0.3,A,12,52
0,8,0.001,nonSeqPartial,0,0.3,B,11,49
0,8,0.001,nonSeqPartial,0,0.7,A,49,12
0,8,0.001,nonSeqPartial,0,0.7,B,42,10
0,8,0.001,seqNoFeedback,0,0.3,A,16,33
0,8,0.001,seqNoFeedback,1,0.3,A,2,2
0,8,0.001,seqNoFeedback,0,0.3,B,19,39
0,8,0.001,seqNoFeedback,1,0.3,B,5,15
0,8,0.001,seqNoFeedback,0,0.7,A,45,24
0,8,0.001,seqNoFeedback,1,0.7,A,51,8
0,8,0.001,seqNoFeedback,0,0.7,B,33,15
0,8,0.001,seqNoFeedback,1,0.7,B,47,20
1,8,0.001,seqFeedback,0,0.3,A,10,16
1,8,0.001,seqFeedback,1,0.3,A,10,30
1,8,0.001,seqFeedback,0,0.3,B,15,33
1,8,0.001,seqFeedback,1,0.3,B,8,53
1,8,0.001,seqFeedback,0,0.7,A,54,16
1,8,0.001,seqFeedback,1,0.7,A,3,0
1,8,0.001,seqFeedback,0,0.7,B,49,11
1,8,0.001,seqFeedback,1,0.7,B,11,15
1,8,0.001,nonSeqFull,0,0.3,A,21,33
1,8,0.001,nonSeqFull,0,0.3,B,7,36
1,8,0.001,nonSeqFull,0,0.7,A,32,6
1,8,0.001,nonSeqFull,0,0.7,B,47,21
1,8,0.001,nonSeqPartial,0,0.3,A,14,48
1,8,0.001,nonSeqPartial,0,0.3,B,12,50
1,8,0.001,nonSeqPartial,0,0.7,A,33,21
1,8,0.001,nonSeqPartial,0,0.7,B,43,21
1,8,0.001,seqNoFeedback,0,0.3,A,10,47
1,8,0.001,seqNoFeedback,1,0.3,A,22,15
1,8,0.001,seqNoFeedback,0,0.3,B,18,35
1,8,0.001,seqNoFeedback,1,0.3,B,14,48
1,8,0.001,seqNoFeedback,0,0.7,A,46,22
1,8,0.001,seqNoFeedback,1,0.7,A,54,10
1,8,0.001,seqNoFeedback,0,0.7,B,50,16
1,8,0.001,seqNoFeedback,1,0.7,B,28,21
2,8,0.001,seqFeedback,0,0.3,A,14,46
2,8,0.001,seqFeedback,1,0.3,A,30,37
2,8,0.001,seqFeedback,0,0.3,B,23,42
2,8,0.001,seqFeedback,1,0.3,B,0,26
2,8,0.001,seqFeedback,0,0.7,A,37,20
2,8,0.001,seqFeedback,1,0.7,A,40,7
2,8,0.001,seqFeedback,0,0.7,B,31,4
2,8,0.001,seqFeedback,1,0.7,B,15,19
2,8,0.001,nonSeqFull,0,0.3,A,20,35
2,8,0.001,nonSeqFull,0,0.3,B,17,52
2,8,0.001,nonSeqFull,0,0.7,A,53,13
2,8,0.001,nonSeqFull,0,0.7,B,36,23
2,8,0.001,nonSeqPartial,0,0.3,A,21,42
2,8,0.001,nonSeqPartial,0,0.3,B,13,38
2,8,0.001,nonSeqPartial,0,0.7,A,45,23
2,8,0.001,nonSeqPartial,0,0.7,B,51,14
2,8,0.001,seqNoFeedback,0,0.3,A,22,38
2,8,0.001,seqNoFeedback,1,0.3,A,1,6
2,8,0.001,seqNoFeedback,0,0.3,B,8,35
2,8,0.001,seqNoFeedback,1,0.3,B,17,48
2,8,0.001,seqNoFeedback,0,0.7,A,35,16
2,8,0.001,seqNoFeedback,1,0.7,A,3,1
2,8,0.001,seqNoFeedback,0,0.7,B,45,22
2,8,0.001,seqNoFeedback,1,0.7,B,46,21
3,8,0.001,seqFeedback,0,0.3,A,13,28
3,8,0.001,seqFeedback,1,0.3,A,16,45
3,8,0.001,seqFeedback,0,0.3,B,13,46
3,8,0.001,seqFeedback,1,0.3,B,6,26
3,8,0.001,seqFeedback,0,0.7,A,53,13
3,8,0.001,seqFeedback,1,0.7,A,27,11
3,8,0.001,seqFeedback,0,0.7,B,30,17
3,8,0.001,seqFeedback,1,0.7,B,51,19
3,8,0.001,nonSeqFull,0,0.3,A,16,39
3,8,0.001,nonSeqFull,0,0.3,B,14,52
3,8,0.001,nonSeqFull,0,0.7,A,27,2
3,8,0.001,nonSeqFull,0,0.7,B,35,16
3,8,0.001,nonSeqPartial,0,0.3,A,15,47
3,8,0.001,nonSeqPartial,0,0.3,B,6,41
3,8,0.001,nonSeqPartial,0,0.7,A,39,8
3,8,0.001,nonSeqPartial,0,0.7,B,34,16
3,8,0.001,seqNoFeedback,0,0.3,A,16,51
3,8,0.001,seqNoFeedback,1,0.3,A,25,35
3,8,0.001,seqNoFeedback,0,0.3,B,10,47
3,8,0.001,seqNoFeedback,1,0.3,B,21,43
3,8,0.001,seqNoFeedback,0,0.7,A,44,24
