speaker_alpha,listener_alpha,guess_cost,block_type,theta,student_a,student_b,first_examples_a,first_examples_b,teacher_knowledge,feedback_choice,first_guess
16,16,0.1,,0.3,9,1,0,5,0.6275048304831787,0.16526776767194806,0.9474957276227937
16,16,0.1,,0.3,9,1,1,4,0.4699134224772359,0.16555612232599268,0.29512986630471516
16,16,0.1,,0.3,9,1,2,3,0.4956381680856246,0.09957800874549007,0.2565427478715631
16,16,0.1,,0.3,9,1,3,2,0.5042870346167382,0.007311062575186647,0.24356944807489272
16,16,0.1,,0.3,9,1,4,1,0.5268547120223199,0.02288740661149193,0.20971793196040028
16,16,0.1,,0.3,9,1,5,0,0.23977579894350493,0.1277169517475633,0.03571860056761691
16,16,0.1,,0.3,1,9,0,5,0.23977579894350487,0.12771695174756315,0.9642813994323829
16,16,0.1,,0.3,1,9,1,4,0.5268547120223199,0.022887406611491835,0.7902820680395997
16,16,0.1,,0.3,1,9,2,3,0.5042870346167382,0.007311062575186692,0.7564305519251071
16,16,0.1,,0.3,1,9,3,2,0.4956381680856246,0.09957800874549078,0.7434572521284368
16,16,0.1,,0.3,1,9,4,1,0.4699134224772359,0.16555612232599268,0.704870133695285
16,16,0.1,,0.3,1,9,5,0,0.6275048304831787,0.16526776767194795,0.052504272377206285
16,16,0.1,,0.7,9,1,0,5,0.6275048304831787,0.16526776767194806,0.052504272377206465
16,16,0.1,,0.7,9,1,1,4,0.4699134224772359,0.16555612232599268,0.704870133695285
16,16,0.1,,0.7,9,1,2,3,0.4956381680856246,0.09957800874549007,0.7434572521284368
16,16,0.1,,0.7,9,1,3,2,0.5042870346167382,0.007311062575186647,0.7564305519251071
16,16,0.1,,0.7,9,1,4,1,0.5268547120223199,0.02288740661149193,0.7902820680395997
16,16,0.1,,0.7,9,1,5,0,0.23977579894350493,0.1277169517475633,0.964281399432383
16,16,0.1,,0.7,1,9,0,5,0.23977579894350487,0.12771695174756315,0.035718600567617054
16,16,0.1,,0.7,1,9,1,4,0.5268547120223199,0.022887406611491835,0.20971793196040028
16,16,0.1,,0.7,1,9,2,3,0.5042870346167382,0.007311062575186692,0.24356944807489272
16,16,0.1,,0.7,1,9,3,2,0.4956381680856246,0.09957800874549078,0.2565427478715631
16,16,0.1,,0.7,1,9,4,1,0.4699134224772359,0.16555612232599268,0.29512986630471516
16,16,0.1,,0.7,1,9,5,0,0.6275048304831787,0.16526776767194795,0.9474957276227937
16,16,0.2,,0.3,9,1,0,5,0.6275048304831787,0.038436835436954676,0.9474957276227937
16,16,0.2,,0.3,9,1,1,4,0.4699134224772359,0.03851410922666606,0.29512986630471516
16,16,0.2,,0.3,9,1,2,3,0.4956381680856246,0.021840169128128258,0.2565427478715631
16,16,0.2,,0.3,9,1,3,2,0.5042870346167382,0.0014847415205276535,0.24356944807489272
16,16,0.2,,0.3,9,1,4,1,0.5268547120223199,0.004706865753076801,0.20971793196040028
16,16,0.2,,0.3,9,1,5,0,0.23977579894350493,0.02871229017024869,0.03571860056761691
16,16,0.2,,0.3,1,9,0,5,0.23977579894350487,0.028712290170248678,0.9642813994323829
16,16,0.2,,0.3,1,9,1,4,0.5268547120223199,0.00470686575307678,0.7902820680395997
16,16,0.2,,0.3,1,9,2,3,0.5042870346167382,0.0014847415205276654,0.7564305519251071
16,16,0.2,,0.3,1,9,3,2,0.4956381680856246,0.021840169128128424,0.7434572521284368
16,16,0.2,,0.3,1,9,4,1,0.4699134224772359,0.03851410922666606,0.704870133695285
16,16,0.2,,0.3,1,9,5,0,0.6275048304831787,0.03843683543695461,0.052504272377206285
16,16,0.2,,0.7,9,1,0,5,0.6275048304831787,0.038436835436954676,0.052504272377206465
16,16,0.2,,0.7,9,1,1,4,0.4699134224772359,0.03851410922666606,0.704870133695285
16,16,0.2,,0.7,9,1,2,3,0.4956381680856246,0.021840169128128258,0.7434572521284368
16,16,0.2,,0.7,9,1,3,2,0.5042870346167382,0.0014847415205276535,0.7564305519251071
16,16,0.2,,0.7,9,1,4,1,0.5268547120223199,0.004706865753076801,0.7902820680395997
16,16,0.2,,0.7,9,1,5,0,0.23977579894350493,0.02871229017024869,0.964281399432383
16,16,0.2,,0.7,1,9,0,5,0.23977579894350487,0.028712290170248678,0.035718600567617054
16,16,0.2,,0.7,1,9,1,4,0.5268547120223199,0.00470686575307678,0.20971793196040028
16,16,0.2,,0.7,1,9,2,3,0.5042870346167382,0.0014847415205276654,0.24356944807489272
16,16,0.2,,0.7,1,9,3,2,0.4956381680856246,0.021840169128128424,0.2565427478715631
16,16,0.2,,0.7,1,9,4,1,0.4699134224772359,0.03851410922666606,0.29512986630471516
16,16,0.2,,0.7,1,9,5,0,0.6275048304831787,0.03843683543695461,0.9474957276227937
16,16,0.3,,0.3,9,1,0,5,0.6275048304831787,0.008005855439874806,0.9474957276227937
16,16,0.3,,0.3,9,1,1,4,0.4699134224772359,0.008022460913010659,0.29512986630471516
16,16,0.3,,0.3,9,1,2,3,0.4956381680856246,0.004487677527506332,0.2565427478715631
16,16,0.3,,0.3,9,1,3,2,0.5042870346167382,0.000300119778264381,0.24356944807489272
16,16,0.3,,0.3,9,1,4,1,0.5268547120223199,0.0009538831311020836,0.20971793196040028
16,16,0.3,,0.3,9,1,5,0,0.23977579894350493,0.005932865263681957,0.03571860056761691
16,16,0.3,,0.3,1,9,0,5,0.23977579894350487,0.005932865263681963,0.9642813994323829
16,16,0.3,,0.3,1,9,1,4,0.5268547120223199,0.0009538831311020768,0.7902820680395997
16,16,0.3,,0.3,1,9,2,3,0.5042870346167382,0.00030011977826438263,0.7564305519251071
16,16,0.3,,0.3,1,9,3,2,0.4956381680856246,0.00448767752750636,0.7434572521284368
16,16,0.3,,0.3,1,9,4,1,0.4699134224772359,0.008022460913010659,0.704870133695285
16,16,0.3,,0.3,1,9,5,0,0.6275048304831787,0.008005855439874799,0.052504272377206285
16,16,0.3,,0.7,9,1,0,5,0.6275048304831787,0.008005855439874806,0.052504272377206465
16,16,0.3,,0.7,9,1,1,4,0.4699134224772359,0.008022460913010659,0.704870133695285
16,16,0.3,,0.7,9,1,2,3,0.4956381680856246,0.004487677527506332,0.7434572521284368
16,16,0.3,,0.7,9,1,3,2,0.5042870346167382,0.000300119778264381,0.7564305519251071
16,16,0.3,,0.7,9,1,4,1,0.5268547120223199,0.0009538831311020836,0.7902820680395997
16,16,0.3,,0.7,9,1,5,0,0.23977579894350493,0.005932865263681957,0.964281399432383
16,16,0.3,,0.7,1,9,0,5,0.23977579894350487,0.005932865263681963,0.035718600567617054
16,16,0.3,,0.7,1,9,1,4,0.5268547120223199,0.0009538831311020768,0.20971793196040028
16,16,0.3,,0.7,1,9,2,3,0.5042870346167382,0.00030011977826438263,0.24356944807489272
16,16,0.3,,0.7,1,9,3,2,0.4956381680856246,0.00448767752750636,0.2565427478715631
16,16,0.3,,0.7,1,9,4,1,0.4699134224772359,0.008022460913010659,0.29512986630471516
16,16,0.3,,0.7,1,9,5,0,0.6275048304831787,0.008005855439874799,0.9474957276227937
16,16,0.4,,0.3,9,1,0,5,0.6275048304831787,0.0016267484478813266,0.9474957276227937
16,16,0.4,,0.3,9,1,1,4,0.4699134224772359,0.00163014433724288,0.29512986630471516
16,16,0.4,,0.3,9,1,2,3,0.4956381680856246,0.0009093032554698844,0.2565427478715631
16,16,0.4,,0.3,9,1,3,2,0.5042870346167382,0.00006060765536095647,0.24356944807489272
16,16,0.4,,0.3,9,1,4,1,0.5268547120223199,0.00019273240943486883,0.20971793196040028
16,16,0.4,,0.3,9,1,5,0,0.23977579894350493,0.001203523571231312,0.03571860056761691
16,16,0.4,,0.3,1,9,0,5,0.23977579894350487,0.0012035235712313098,0.9642813994323829
16,16,0.4,,0.3,1,9,1,4,0.5268547120223199,0.00019273240943486712,0.7902820680395997
16,16,0.4,,0.3,1,9,2,3,0.5042870346167382,0.000060607655360956906,0.7564305519251071
16,16,0.4,,0.3,1,9,3,2,0.4956381680856246,0.0009093032554698916,0.7434572521284368
16,16,0.4,,0.3,1,9,4,1,0.4699134224772359,0.00163014433724288,0.704870133695285
16,16,0.4,,0.3,1,9,5,0,0.6275048304831787,0.001626748447881325,0.052504272377206285
16,16,0.4,,0.7,9,1,0,5,0.6275048304831787,0.0016267484478813266,0.052504272377206465
16,16,0.4,,0.7,9,1,1,4,0.4699134224772359,0.00163014433724288,0.704870133695285
16,16,0.4,,0.7,9,1,2,3,0.4956381680856246,0.0009093032554698844,0.7434572521284368
16,16,0.4,,0.7,9,1,3,2,0.5042870346167382,0.00006060765536095647,0.7564305519251071
16,16,0.4,,0.7,9,1,4,1,0.5268547120223199,0.00019273240943486883,0.7902820680395997
16,16,0.4,,0.7,9,1,5,0,0.23977579894350493,0.001203523571231312,0.964281399432383
16,16,0.4,,0.7,1,9,0,5,0.23977579894350487,0.0012035235712313098,0.035718600567617054
16,16,0.4,,0.7,1,9,1,4,0.5268547120223199,0.00019273240943486712,0.20971793196040028
16,16,0.4,,0.7,1,9,2,3,0.5042870346167382,0.000060607655360956906,0.24356944807489272
