speaker_alpha,listener_alpha,guess_cost,block_type,theta,student_a,student_b,first_examples_a,first_examples_b,teacher_knowledge,feedback_choice,first_guess
16,16,0.1,,0.3,9,1,0,5,0.6274982502816553,0.9499742087995341,0.9475505179854752
16,16,0.1,,0.3,9,1,1,4,0.46988176708387225,0.9592052607705479,0.2951773493942309
16,16,0.1,,0.3,9,1,2,3,0.49563376463960546,0.37031990279324833,0.2565493530405919
16,16,0.1,,0.3,9,1,3,2,0.5042912882621864,0.03521766779347326,0.24356306760672033
16,16,0.1,,0.3,9,1,4,1,0.5268799290594067,0.04823387057749901,0.2096801064049283
16,16,0.1,,0.3,9,1,5,0,0.23980320571992128,0.07619363943211627,0.035679410113948117
16,16,0.1,,0.3,1,9,0,5,0.23980320571992145,0.07619363943211623,0.9643205898860517
16,16,0.1,,0.3,1,9,1,4,0.526879929059407,0.04823387057749895,0.7903198935950718
16,16,0.1,,0.3,1,9,2,3,0.5042912882621866,0.03521766779347332,0.7564369323932799
16,16,0.1,,0.3,1,9,3,2,0.49563376463960546,0.37031990279325355,0.7434506469594082
16,16,0.1,,0.3,1,9,4,1,0.4698817670838725,0.9592052607705475,0.7048226506057693
16,16,0.1,,0.3,1,9,5,0,0.6274982502816553,0.9499742087995336,0.05244948201452458
16,16,0.1,,0.7,9,1,0,5,0.6274982502816553,0.9499742087995341,0.05244948201452476
16,16,0.1,,0.7,9,1,1,4,0.46988176708387225,0.9592052607705479,0.7048226506057691
16,16,0.1,,0.7,9,1,2,3,0.49563376463960546,0.37031990279324833,0.7434506469594082
16,16,0.1,,0.7,9,1,3,2,0.5042912882621864,0.03521766779347326,0.7564369323932796
16,16,0.1,,0.7,9,1,4,1,0.5268799290594067,0.04823387057749901,0.7903198935950717
16,16,0.1,,0.7,9,1,5,0,0.23980320571992128,0.07619363943211627,0.9643205898860517
16,16,0.1,,0.7,1,9,0,5,0.23980320571992145,0.07619363943211623,0.035679410113948214
16,16,0.1,,0.7,1,9,1,4,0.526879929059407,0.04823387057749895,0.20968010640492812
16,16,0.1,,0.7,1,9,2,3,0.5042912882621866,0.03521766779347332,0.24356306760672014
16,16,0.1,,0.7,1,9,3,2,0.49563376463960546,0.37031990279325355,0.2565493530405918
16,16,0.1,,0.7,1,9,4,1,0.4698817670838725,0.9592052607705475,0.2951773493942307
16,16,0.1,,0.7,1,9,5,0,0.6274982502816553,0.9499742087995336,0.9475505179854754
16,16,0.2,,0.3,9,1,0,5,0.6274982502816553,0.7931299299691985,0.9475505179854752
16,16,0.2,,0.3,9,1,1,4,0.46988176708387225,0.8260017938535683,0.2951773493942309
16,16,0.2,,0.3,9,1,2,3,0.49563376463960546,0.10613483059799403,0.2565493530405919
16,16,0.2,,0.3,9,1,3,2,0.5042912882621864,0.007315956603164477,0.24356306760672033
16,16,0.2,,0.3,9,1,4,1,0.5268799290594067,0.010128139530258165,0.2096801064049283
16,16,0.2,,0.3,9,1,5,0,0.23980320571992128,0.01637925999294824,0.035679410113948117
16,16,0.2,,0.3,1,9,0,5,0.23980320571992145,0.016379259992948224,0.9643205898860517
16,16,0.2,,0.3,1,9,1,4,0.526879929059407,0.010128139530258165,0.7903198935950718
16,16,0.2,,0.3,1,9,2,3,0.5042912882621866,0.00731595660316451,0.7564369323932799
16,16,0.2,,0.3,1,9,3,2,0.49563376463960546,0.1061348305979962,0.7434506469594082
16,16,0.2,,0.3,1,9,4,1,0.4698817670838725,0.8260017938535683,0.7048226506057693
16,16,0.2,,0.3,1,9,5,0,0.6274982502816553,0.7931299299691978,0.05244948201452458
16,16,0.2,,0.7,9,1,0,5,0.6274982502816553,0.7931299299691985,0.05244948201452476
16,16,0.2,,0.7,9,1,1,4,0.46988176708387225,0.8260017938535683,0.7048226506057691
16,16,0.2,,0.7,9,1,2,3,0.49563376463960546,0.10613483059799403,0.7434506469594082
16,16,0.2,,0.7,9,1,3,2,0.5042912882621864,0.007315956603164477,0.7564369323932796
16,16,0.2,,0.7,9,1,4,1,0.5268799290594067,0.010128139530258165,0.7903198935950717
16,16,0.2,,0.7,9,1,5,0,0.23980320571992128,0.01637925999294824,0.9643205898860517
