alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
10,0.1,nonSeqFull,0,0.2,B,0,12
10,0.1,nonSeqFull,0,0.2,C,1,0
10,0.1,nonSeqFull,0,0.5,B,0,3
10,0.1,nonSeqFull,0,0.5,D,0,6
10,0.1,nonSeqFull,0,0.8,B,0,1
10,0.1,nonSeqFull,0,0.8,C,22,0
10,0.1,nonSeqPartial,0,0.2,A,0,13
10,0.1,nonSeqPartial,0,0.2,C,1,1
10,0.1,nonSeqPartial,0,0.5,B,4,2
10,0.1,nonSeqPartial,0,0.5,C,4,0
10,0.1,nonSeqPartial,0,0.8,B,7,0
10,0.1,nonSeqPartial,0,0.8,C,19,0
10,0.1,seqNoFeedback,0,0.2,B,0,11
10,0.1,seqNoFeedback,1,0.2,B,1,5
10,0.1,seqNoFeedback,0,0.2,C,0,19
10,0.1,seqNoFeedback,1,0.2,C,0,2
10,0.1,seqNoFeedback,0,0.5,B,3,1
10,0.1,seqNoFeedback,1,0.5,B,0,4
10,0.1,seqNoFeedback,0,0.5,C,5,0
10,0.1,seqNoFeedback,1,0.5,C,0,4
10,0.1,seqNoFeedback,0,0.8,A,3,2
10,0.1,seqNoFeedback,1,0.8,A,11,0
10,0.1,seqNoFeedback,0,0.8,D,15,0
10,0.1,seqNoFeedback,1,0.8,D,2,1
10,0.1,seqFeedback,0,0.2,A,1,2
10,0.1,seqFeedback,1,0.2,A,0,1
10,0.1,seqFeedback,0,0.2,C,0,15
10,0.1,seqFeedback,1,0.2,C,0,1
10,0.1,seqFeedback,0,0.5,A,0,3
10,0.1,seqFeedback,1,0.5,A,2,0
10,0.1,seqFeedback,0,0.5,D,7,0
10,0.1,seqFeedback,1,0.5,D,0,5
10,0.1,seqFeedback,0,0.8,B,1,1
10,0.1,seqFeedback,1,0.8,B,1,1
10,0.1,seqFeedback,0,0.8,C,20,0
10,0.1,seqFeedback,1,0.8,C,22,0
10,0.1,nonSeqFull,0,0.2,A,1,0
10,0.1,nonSeqFull,0,0.2,D,0,18
10,0.1,nonSeqFull,0,0.5,B,0,2
10,0.1,nonSeqFull,0,0.5,D,0,3
10,0.1,nonSeqFull,0,0.8,A,10,0
10,0.1,nonSeqFull,0,0.8,C,17,0
10,0.1,nonSeqPartial,0,0.2,B,1,1
10,0.1,nonSeqPartial,0,0.2,D,1,0
10,0.1,nonSeqPartial,0,0.5,B,2,0
10,0.1,nonSeqPartial,0,0.5,D,5,0
10,0.1,nonSeqPartial,0,0.8,A,2,0
10,0.1,nonSeqPartial,0,0.8,C,1,1
10,0.1,seqNoFeedback,0,0.2,B,0,7
10,0.1,seqNoFeedback,1,0.2,B,0,10
10,0.1,seqNoFeedback,0,0.2,D,0,15
10,0.1,seqNoFeedback,1,0.2,D,0,23
10,0.1,seqNoFeedback,0,0.5,B,3,0
10,0.1,seqNoFeedback,1,0.5,B,0,3
10,0.1,seqNoFeedback,0,0.5,D,4,0
10,0.1,seqNoFeedback,1,0.5,D,0,7
10,0.1,seqNoFeedback,0,0.8,A,12,0
10,0.1,seqNoFeedback,1,0.8,A,2,1
10,0.1,seqNoFeedback,0,0.8,D,0,1
10,0.1,seqNoFeedback,1,0.8,D,2,1
10,0.1,seqFeedback,0,0.2,A,0,11
10,0.1,seqFeedback,1,0.2,A,1,2
10,0.1,seqFeedback,0,0.2,D,2,0
10,0.1,seqFeedback,1,0.2,D,0,19
10,0.1,seqFeedback,0,0.5,B,1,0
10,0.1,seqFeedback,1,0.5,B,3,0
10,0.1,seqFeedback,0,0.5,D,0,5
10,0.1,seqFeedback,1,0.5,D,3,8
10,0.1,seqFeedback,0,0.8,B,10,0
10,0.1,seqFeedback,1,0.8,B,2,1
10,0.1,seqFeedback,0,0.8,D,1,0
10,0.1,seqFeedback,1,0.8,D,0,1
10,0.1,nonSeqFull,0,0.2,A,1,0
