alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
5,0.1,nonSeqFull,0,0.2,A,1,4
5,0.1,nonSeqFull,0,0.2,C,0,2
5,0.1,nonSeqFull,0,0.5,B,1,2
5,0.1,nonSeqFull,0,0.5,C,7,0
5,0.1,nonSeqFull,0,0.8,B,0,1
5,0.1,nonSeqFull,0,0.8,D,3,1
5,0.1,nonSeqPartial,0,0.2,A,0,16
5,0.1,nonSeqPartial,0,0.2,C,1,2
5,0.1,nonSeqPartial,0,0.5,B,3,6
5,0.1,nonSeqPartial,0,0.5,D,4,0
5,0.1,nonSeqPartial,0,0.8,B,7,0
5,0.1,nonSeqPartial,0,0.8,C,19,0
5,0.1,seqNoFeedback,0,0.2,A,1,1
5,0.1,seqNoFeedback,1,0.2,A,1,3
5,0.1,seqNoFeedback,0,0.2,C,1,17
5,0.1,seqNoFeedback,1,0.2,C,2,1
5,0.1,seqNoFeedback,0,0.5,B,0,4
5,0.1,seqNoFeedback,1,0.5,B,1,4
5,0.1,seqNoFeedback,0,0.5,C,4,7
5,0.1,seqNoFeedback,1,0.5,C,11,3
5,0.1,seqNoFeedback,0,0.8,B,3,1
5,0.1,seqNoFeedback,1,0.8,B,10,0
5,0.1,seqNoFeedback,0,0.8,D,21,0
5,0.1,seqNoFeedback,1,0.8,D,5,3
5,0.1,seqFeedback,0,0.2,B,0,1
5,0.1,seqFeedback,1,0.2,B,1,10
5,0.1,seqFeedback,0,0.2,D,1,0
5,0.1,seqFeedback,1,0.2,D,1,23
5,0.1,seqFeedback,0,0.5,B,0,3
5,0.1,seqFeedback,1,0.5,B,0,1
5,0.1,seqFeedback,0,0.5,C,2,7
5,0.1,seqFeedback,1,0.5,C,8,1
5,0.1,seqFeedback,0,0.8,B,6,1
5,0.1,seqFeedback,1,0.8,B,1,0
5,0.1,seqFeedback,0,0.8,C,20,1
5,0.1,seqFeedback,1,0.8,C,18,0
5,0.1,nonSeqFull,0,0.2,B,0,9
5,0.1,nonSeqFull,0,0.2,D,0,20
5,0.1,nonSeqFull,0,0.5,B,4,6
5,0.1,nonSeqFull,0,0.5,D,1,5
5,0.1,nonSeqFull,0,0.8,B,4,2
5,0.1,nonSeqFull,0,0.8,D,2,1
5,0.1,nonSeqPartial,0,0.2,B,0,3
5,0.1,nonSeqPartial,0,0.2,D,0,16
5,0.1,nonSeqPartial,0,0.5,A,8,0
5,0.1,nonSeqPartial,0,0.5,D,4,0
5,0.1,nonSeqPartial,0,0.8,A,5,0
5,0.1,nonSeqPartial,0,0.8,D,1,1
5,0.1,seqNoFeedback,0,0.2,A,0,12
5,0.1,seqNoFeedback,1,0.2,A,0,1
5,0.1,seqNoFeedback,0,0.2,D,0,17
5,0.1,seqNoFeedback,1,0.2,D,0,20
5,0.1,seqNoFeedback,0,0.5,A,5,0
5,0.1,seqNoFeedback,1,0.5,A,4,0
5,0.1,seqNoFeedback,0,0.5,C,0,6
5,0.1,seqNoFeedback,1,0.5,C,5,3
5,0.1,seqNoFeedback,0,0.8,B,1,1
5,0.1,seqNoFeedback,1,0.8,B,4,2
5,0.1,seqNoFeedback,0,0.8,D,2,1
5,0.1,seqNoFeedback,1,0.8,D,1,0
5,0.1,seqFeedback,0,0.2,B,0,13
5,0.1,seqFeedback,1,0.2,B,3,4
5,0.1,seqFeedback,0,0.2,D,0,1
5,0.1,seqFeedback,1,0.2,D,0,16
5,0.1,seqFeedback,0,0.5,B,4,0
5,0.1,seqFeedback,1,0.5,B,0,3
5,0.1,seqFeedback,0,0.5,C,0,5
5,0.1,seqFeedback,1,0.5,C,7,0
5,0.1,seqFeedback,0,0.8,B,1,0
5,0.1,seqFeedback,1,0.8,B,1,2
5,0.1,seqFeedback,0,0.8,C,21,0
5,0.1,seqFeedback,1,0.8,C,24,0
5,0.1,nonSeqFull,0,0.2,A,1,0
5,0.1,nonSeqFull,0,0.2,D,0,20
5,0.1,nonSeqFull,0,0.5,A,3,1
5,0.1,nonSeqFull,0,0.5,C,3,0
5,0.1,nonSeqFull,0,0.8,A,13,0
5,0.1,nonSeqFull,0,0.8,C,13,0
5,0.1,nonSeqPartial,0,0.2,A,0,10
5,0.1,nonSeqPartial,0,0.2,C,0,2
5,0.1,nonSeqPartial,0,0.5,B,0,4
5,0.1,nonSeqPartial,0,0.5,C,6,0
5,0.1,nonSeqPartial,0,0.8,B,1,0
5,0.1,nonSeqPartial,0,0.8,C,24,0
5,0.1,seqNoFeedback,0,0.2,A,2,20
5,0.1,seqNoFeedback,1,0.2,A,0,8
5,0.1,seqNoFeedback,0,0.2,D,1,18
5,0.1,seqNoFeedback,1,0.2,D,1,0
5,0.1,seqNoFeedback,0,0.5,B,0,4
5,0.1,seqNoFeedback,1,0.5,B,5,1
5,0.1,seqNoFeedback,0,0.5,C,6,0
5,0.1,seqNoFeedback,1,0.5,C,0,6
5,0.1,seqNoFeedback,0,0.8,A,9,2
5,0.1,seqNoFeedback,1,0.8,A,10,0
5,0.1,seqNoFeedback,0,0.8,D,19,0
5,0.1,seqNoFeedback,1,0.8,D,14,0
5,0.1,seqFeedback,0,0.2,A,0,9
5,0.1,seqFeedback,1,0.2,A,0,1
5,0.1,seqFeedback,0,0.2,C,0,15
5,0.1,seqFeedback,1,0.2,C,0,1
5,0.1,seqFeedback,0,0.5,A,1,7
5,0.1,seqFeedback,1,0.5,A,7,0
5,0.1,seqFeedback,0,0.5,C,4,0
5,0.1,seqFeedback,1,0.5,C,4,0
5,0.1,seqFeedback,0,0.8,A,2,1
5,0.1,seqFeedback,1,0.8,A,7,0
5,0.1,seqFeedback,0,0.8,C,20,0
5,0.1,seqFeedback,1,0.8,C,16,0
5,0.1,nonSeqFull,0,0.2,B,1,16
5,0.1,nonSeqFull,0,0.2,C,1,0
5,0.1,nonSeqFull,0,0.5,A,3,1
5,0.1,nonSeqFull,0,0.5,C,5,0
5,0.1,nonSeqFull,0,0.8,B,3,2
5,0.1,nonSeqFull,0,0.8,D,2,1
5,0.1,nonSeqPartial,0,0.2,B,1,13
5,0.1,nonSeqPartial,0,0.2,D,0,19
5,0.1,nonSeqPartial,0,0.5,A,2,3
5,0.1,nonSeqPartial,0,0.5,D,2,9
5,0.1,nonSeqPartial,0,0.8,A,2,0
5,0.1,nonSeqPartial,0,0.8,C,20,0
5,0.1,seqNoFeedback,0,0.2,B,0,17
5,0.1,seqNoFeedback,1,0.2,B,1,3
5,0.1,seqNoFeedback,0,0.2,C,0,1
5,0.1,seqNoFeedback,1,0.2,C,0,1
5,0.1,seqNoFeedback,0,0.5,A,5,2
5,0.1,seqNoFeedback,1,0.5,A,0,2
5,0.1,seqNoFeedback,0,0.5,D,13,5
5,0.1,seqNoFeedback,1,0.5,D,1,9
5,0.1,seqNoFeedback,0,0.8,A,1,1
5,0.1,seqNoFeedback,1,0.8,A,11,0
