alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
3,0.001,nonSeqFull,0,0.2,A,5,21
3,0.001,nonSeqFull,0,0.2,C,2,13
3,0.001,nonSeqFull,0,0.5,A,9,9
3,0.001,nonSeqFull,0,0.5,D,9,15
3,0.001,nonSeqFull,0,0.8,B,2,2
3,0.001,nonSeqFull,0,0.8,D,21,5
3,0.001,nonSeqPartial,0,0.2,B,4,26
3,0.001,nonSeqPartial,0,0.2,D,2,18
3,0.001,nonSeqPartial,0,0.5,B,14,15
3,0.001,nonSeqPartial,0,0.5,C,2,9
3,0.001,nonSeqPartial,0,0.8,A,19,2
3,0.001,nonSeqPartial,0,0.8,D,27,0
3,0.001,seqNoFeedback,0,0.2,A,1,14
3,0.001,seqNoFeedback,1,0.2,A,0,27
3,0.001,seqNoFeedback,0,0.2,D,0,22
3,0.001,seqNoFeedback,1,0.2,D,1,26
3,0.001,seqNoFeedback,0,0.5,B,4,7
3,0.001,seqNoFeedback,1,0.5,B,9,11
3,0.001,seqNoFeedback,0,0.5,C,6,9
3,0.001,seqNoFeedback,1,0.5,C,16,9
3,0.001,seqNoFeedback,0,0.8,A,20,1
3,0.001,seqNoFeedback,1,0.8,A,19,2
3,0.001,seqNoFeedback,0,0.8,C,26,1
3,0.001,seqNoFeedback,1,0.8,C,16,3
3,0.001,seqFeedback,0,0.2,A,3,25
3,0.001,seqFeedback,1,0.2,A,4,22
3,0.001,seqFeedback,0,0.2,D,8,21
3,0.001,seqFeedback,1,0.2,D,0,21
3,0.001,seqFeedback,0,0.5,B,10,17
3,0.001,seqFeedback,1,0.5,B,2,3
3,0.001,seqFeedback,0,0.5,C,14,9
3,0.001,seqFeedback,1,0.5,C,10,7
3,0.001,seqFeedback,0,0.8,B,25,4
3,0.001,seqFeedback,1,0.8,B,11,1
3,0.001,seqFeedback,0,0.8,C,27,0
3,0.001,seqFeedback,1,0.8,C,27,1
3,0.001,nonSeqFull,0,0.2,A,3,10
3,0.001,nonSeqFull,0,0.2,D,0,24
3,0.001,nonSeqFull,0,0.5,A,13,7
3,0.001,nonSeqFull,0,0.5,D,5,9
3,0.001,nonSeqFull,0,0.8,B,18,5
3,0.001,nonSeqFull,0,0.8,D,5,1
3,0.001,nonSeqPartial,0,0.2,A,7,19
3,0.001,nonSeqPartial,0,0.2,D,0,26
3,0.001,nonSeqPartial,0,0.5,A,8,4
3,0.001,nonSeqPartial,0,0.5,D,6,1
3,0.001,nonSeqPartial,0,0.8,B,21,2
3,0.001,nonSeqPartial,0,0.8,D,21,6
3,0.001,seqNoFeedback,0,0.2,A,0,25
3,0.001,seqNoFeedback,1,0.2,A,0,18
3,0.001,seqNoFeedback,0,0.2,D,0,30
3,0.001,seqNoFeedback,1,0.2,D,0,16
3,0.001,seqNoFeedback,0,0.5,B,10,14
3,0.001,seqNoFeedback,1,0.5,B,12,10
3,0.001,seqNoFeedback,0,0.5,C,16,8
3,0.001,seqNoFeedback,1,0.5,C,12,3
3,0.001,seqNoFeedback,0,0.8,A,4,2
3,0.001,seqNoFeedback,1,0.8,A,23,6
3,0.001,seqNoFeedback,0,0.8,C,21,4
3,0.001,seqNoFeedback,1,0.8,C,3,1
3,0.001,seqFeedback,0,0.2,A,2,16
3,0.001,seqFeedback,1,0.2,A,4,11
3,0.001,seqFeedback,0,0.2,C,1,26
3,0.001,seqFeedback,1,0.2,C,1,6
3,0.001,seqFeedback,0,0.5,B,4,7
3,0.001,seqFeedback,1,0.5,B,12,14
3,0.001,seqFeedback,0,0.5,C,11,11
3,0.001,seqFeedback,1,0.5,C,8,0
