alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
3,0,nonSeqFull,0,0.2,B,3,24
3,0,nonSeqFull,0,0.2,D,0,26
3,0,nonSeqFull,0,0.5,B,7,11
3,0,nonSeqFull,0,0.5,C,16,8
3,0,nonSeqFull,0,0.8,A,11,1
3,0,nonSeqFull,0,0.8,C,29,0
3,0,nonSeqPartial,0,0.2,A,4,26
3,0,nonSeqPartial,0,0.2,D,4,16
3,0,nonSeqPartial,0,0.5,B,14,15
3,0,nonSeqPartial,0,0.5,D,3,8
3,0,nonSeqPartial,0,0.8,A,20,1
3,0,nonSeqPartial,0,0.8,C,27,0
3,0,seqNoFeedback,0,0.2,A,3,12
3,0,seqNoFeedback,1,0.2,A,2,10
3,0,seqNoFeedback,0,0.2,C,1,21
3,0,seqNoFeedback,1,0.2,C,0,19
3,0,seqNoFeedback,0,0.5,B,6,5
3,0,seqNoFeedback,1,0.5,B,3,2
3,0,seqNoFeedback,0,0.5,D,10,5
3,0,seqNoFeedback,1,0.5,D,13,7
3,0,seqNoFeedback,0,0.8,B,15,7
3,0,seqNoFeedback,1,0.8,B,18,5
3,0,seqNoFeedback,0,0.8,C,26,1
3,0,seqNoFeedback,1,0.8,C,24,1
3,0,seqFeedback,0,0.2,A,4,24
3,0,seqFeedback,1,0.2,A,2,8
3,0,seqFeedback,0,0.2,C,2,4
3,0,seqFeedback,1,0.2,C,6,17
3,0,seqFeedback,0,0.5,B,5,2
3,0,seqFeedback,1,0.5,B,13,16
3,0,seqFeedback,0,0.5,D,13,1
3,0,seqFeedback,1,0.5,D,2,6
3,0,seqFeedback,0,0.8,A,10,4
3,0,seqFeedback,1,0.8,A,18,2
3,0,seqFeedback,0,0.8,C,8,1
3,0,seqFeedback,1,0.8,C,30,0
3,0,nonSeqFull,0,0.2,A,4,15
3,0,nonSeqFull,0,0.2,C,4,9
3,0,nonSeqFull,0,0.5,A,14,7
3,0,nonSeqFull,0,0.5,C,15,3
3,0,nonSeqFull,0,0.8,B,15,6
3,0,nonSeqFull,0,0.8,D,12,4
3,0,nonSeqPartial,0,0.2,A,3,26
3,0,nonSeqPartial,0,0.2,C,0,29
3,0,nonSeqPartial,0,0.5,A,3,6
3,0,nonSeqPartial,0,0.5,C,13,10
3,0,nonSeqPartial,0,0.8,B,25,3
3,0,nonSeqPartial,0,0.8,D,12,7
3,0,seqNoFeedback,0,0.2,A,0,11
3,0,seqNoFeedback,1,0.2,A,3,26
3,0,seqNoFeedback,0,0.2,D,4,15
3,0,seqNoFeedback,1,0.2,D,0,28
3,0,seqNoFeedback,0,0.5,B,12,5
3,0,seqNoFeedback,1,0.5,B,12,13
3,0,seqNoFeedback,0,0.5,D,12,18
3,0,seqNoFeedback,1,0.5,D,5,9
3,0,seqNoFeedback,0,0.8,B,10,2
3,0,seqNoFeedback,1,0.8,B,1,0
3,0,seqNoFeedback,0,0.8,D,22,2
3,0,seqNoFeedback,1,0.8,D,27,1
3,0,seqFeedback,0,0.2,A,1,16
3,0,seqFeedback,1,0.2,A,6,16
3,0,seqFeedback,0,0.2,D,0,22
3,0,seqFeedback,1,0.2,D,0,28
3,0,seqFeedback,0,0.5,A,7,2
3,0,seqFeedback,1,0.5,A,10,9
3,0,seqFeedback,0,0.5,D,9,3
3,0,seqFeedback,1,0.5,D,10,14
3,0,seqFeedback,0,0.8,A,26,3
3,0,seqFeedback,1,0.8,A,8,0
3,0,seqFeedback,0,0.8,C,16,2
3,0,seqFeedback,1,0.8,C,19,1
3,0,nonSeqFull,0,0.2,B,3,27
3,0,nonSeqFull,0,0.2,D,2,26
3,0,nonSeqFull,0,0.5,B,4,8
3,0,nonSeqFull,0,0.5,C,17,13
3,0,nonSeqFull,0,0.8,A,18,4
3,0,nonSeqFull,0,0.8,C,27,1
3,0,nonSeqPartial,0,0.2,B,0,14
3,0,nonSeqPartial,0,0.2,D,4,4
3,0,nonSeqPartial,0,0.5,B,4,5
3,0,nonSeqPartial,0,0.5,D,8,13
3,0,nonSeqPartial,0,0.8,B,23,4
3,0,nonSeqPartial,0,0.8,C,27,3
3,0,seqNoFeedback,0,0.2,A,0,14
3,0,seqNoFeedback,1,0.2,A,6,24
3,0,seqNoFeedback,0,0.2,D,0,28
3,0,seqNoFeedback,1,0.2,D,5,22
3,0,seqNoFeedback,0,0.5,A,5,0
3,0,seqNoFeedback,1,0.5,A,11,12
