subject_id,alpha,costWeight,block_type,trial_num,theta,student_class,heads,tails
0,1,0.01,nonSeqFull,0,0.3,A,12,35
0,1,0.01,nonSeqFull,0,0.3,B,4,32
0,1,0.01,nonSeqFull,0,0.7,A,30,5
0,1,0.01,nonSeqFull,0,0.7,B,30,10
0,1,0.01,nonSeqPartial,0,0.3,A,18,45
0,1,0.01,nonSeqPartial,0,0.3,B,4,18
0,1,0.01,nonSeqPartial,0,0.7,A,44,24
0,1,0.01,nonSeqPartial,0,0.7,B,8,8
0,1,0.01,seqNoFeedback,0,0.3,A,14,38
0,1,0.01,seqNoFeedback,1,0.3,A,10,13
0,1,0.01,seqNoFeedback,0,0.3,B,11,52
0,1,0.01,seqNoFeedback,1,0.3,B,4,17
0,1,0.01,seqNoFeedback,0,0.7,A,9,2
0,1,0.01,seqNoFeedback,1,0.7,A,2,4
0,1,0.01,seqNoFeedback,0,0.7,B,4,3
0,1,0.01,seqNoFeedback,1,0.7,B,23,12
0,1,0.01,seqFeedback,0,0.3,A,7,39
0,1,0.01,seqFeedback,1,0.3,A,12,9
0,1,0.01,seqFeedback,0,0.3,B,1,22
0,1,0.01,seqFeedback,1,0.3,B,6,31
0,1,0.01,seqFeedback,0,0.7,A,7,5
0,1,0.01,seqFeedback,1,0.7,A,29,16
0,1,0.01,seqFeedback,0,0.7,B,1,3
0,1,0.01,seqFeedback,1,0.7,B,13,10
1,1,0.01,nonSeqFull,0,0.3,A,17,25
1,1,0.01,nonSeqFull,0,0.3,B,19,50
1,1,0.01,nonSeqFull,0,0.7,A,37,4
1,1,0.01,nonSeqFull,0,0.7,B,24,6
1,1,0.01,nonSeqPartial,0,0.3,A,8,7
1,1,0.01,nonSeqPartial,0,0.3,B,8,40
1,1,0.01,nonSeqPartial,0,0.7,A,57,9
1,1,0.01,nonSeqPartial,0,0.7,B,8,5
1,1,0.01,seqNoFeedback,0,0.3,A,0,20
1,1,0.01,seqNoFeedback,1,0.3,A,12,17
1,1,0.01,seqNoFeedback,0,0.3,B,9,10
1,1,0.01,seqNoFeedback,1,0.3,B,10,44
1,1,0.01,seqNoFeedback,0,0.7,A,32,13
1,1,0.01,seqNoFeedback,1,0.7,A,36,13
1,1,0.01,seqNoFeedback,0,0.7,B,34,23
1,1,0.01,seqNoFeedback,1,0.7,B,41,29
1,1,0.01,seqFeedback,0,0.3,A,2,33
1,1,0.01,seqFeedback,1,0.3,A,8,8
1,1,0.01,seqFeedback,0,0.3,B,9,12
1,1,0.01,seqFeedback,1,0.3,B,3,46
1,1,0.01,seqFeedback,0,0.7,A,34,0
1,1,0.01,seqFeedback,1,0.7,A,19,4
1,1,0.01,seqFeedback,0,0.7,B,27,6
1,1,0.01,seqFeedback,1,0.7,B,38,26
2,1,0.01,nonSeqFull,0,0.3,A,17,22
2,1,0.01,nonSeqFull,0,0.3,B,0,24
2,1,0.01,nonSeqFull,0,0.7,A,32,8
2,1,0.01,nonSeqFull,0,0.7,B,37,20
2,1,0.01,nonSeqPartial,0,0.3,A,3,14
2,1,0.01,nonSeqPartial,0,0.3,B,10,44
2,1,0.01,nonSeqPartial,0,0.7,A,51,18
2,1,0.01,nonSeqPartial,0,0.7,B,8,5
2,1,0.01,seqNoFeedback,0,0.3,A,13,50
2,1,0.01,seqNoFeedback,1,0.3,A,14,13
2,1,0.01,seqNoFeedback,0,0.3,B,8,19
2,1,0.01,seqNoFeedback,1,0.3,B,2,1
2,1,0.01,seqNoFeedback,0,0.7,A,21,14
2,1,0.01,seqNoFeedback,1,0.7,A,27,12
2,1,0.01,seqNoFeedback,0,0.7,B,25,0
