alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
3,0.1,nonSeqFull,0,0.3,A,5,2
3,0.1,nonSeqFull,0,0.7,B,1,3
3,0.1,nonSeqPartial,0,0.3,B,0,13
3,0.1,nonSeqPartial,0,0.7,A,2,3
3,0.1,seqNoFeedback,0,0.3,B,3,4
3,0.1,seqNoFeedback,1,0.3,B,0,10
3,0.1,seqNoFeedback,0,0.7,A,1,5
3,0.1,seqNoFeedback,1,0.7,A,10,12
3,0.1,seqFeedback,0,0.3,B,0,12
3,0.1,seqFeedback,1,0.3,B,1,22
3,0.1,seqFeedback,0,0.7,B,19,1
3,0.1,seqFeedback,1,0.7,B,0,1
3,0.1,nonSeqFull,0,0.3,B,0,17
3,0.1,nonSeqFull,0,0.7,B,1,5
3,0.1,nonSeqPartial,0,0.3,B,0,13
3,0.1,nonSeqPartial,0,0.7,A,15,0
3,0.1,seqNoFeedback,0,0.3,B,5,0
3,0.1,seqNoFeedback,1,0.3,B,1,20
3,0.1,seqNoFeedback,0,0.7,B,18,0
3,0.1,seqNoFeedback,1,0.7,B,14,0
3,0.1,seqFeedback,0,0.3,B,4,2
3,0.1,seqFeedback,1,0.3,B,0,22
3,0.1,seqFeedback,0,0.7,A,0,2
3,0.1,seqFeedback,1,0.7,A,13,0
3,0.1,nonSeqFull,0,0.3,A,3,5
3,0.1,nonSeqFull,0,0.7,B,0,3
3,0.1,nonSeqPartial,0,0.3,B,3,2
3,0.1,nonSeqPartial,0,0.7,B,1,1
3,0.1,seqNoFeedback,0,0.3,B,3,13
3,0.1,seqNoFeedback,1,0.3,B,3,0
3,0.1,seqNoFeedback,0,0.7,A,15,1
3,0.1,seqNoFeedback,1,0.7,A,0,3
3,0.1,seqFeedback,0,0.3,B,1,11
3,0.1,seqFeedback,1,0.3,B,3,24
3,0.1,seqFeedback,0,0.7,A,0,3
3,0.1,seqFeedback,1,0.7,A,11,0
3,0.1,nonSeqFull,0,0.3,B,0,17
3,0.1,nonSeqFull,0,0.7,A,15,0
3,0.1,nonSeqPartial,0,0.3,A,1,0
3,0.1,nonSeqPartial,0,0.7,B,0,3
3,0.1,seqNoFeedback,0,0.3,B,0,14
3,0.1,seqNoFeedback,1,0.3,B,3,1
3,0.1,seqNoFeedback,0,0.7,A,23,3
3,0.1,seqNoFeedback,1,0.7,A,11,0
3,0.1,seqFeedback,0,0.3,B,2,0
3,0.1,seqFeedback,1,0.3,B,0,9
3,0.1,seqFeedback,0,0.7,B,16,0
3,0.1,seqFeedback,1,0.7,B,3,4
3,0.1,nonSeqFull,0,0.3,B,1,18
3,0.1,nonSeqFull,0,0.7,A,13,4
3,0.1,nonSeqPartial,0,0.3,B,5,2
3,0.1,nonSeqPartial,0,0.7,A,0,4
3,0.1,seqNoFeedback,0,0.3,A,3,0
3,0.1,seqNoFeedback,1,0.3,A,2,0
3,0.1,seqNoFeedback,0,0.7,A,17,2
3,0.1,seqNoFeedback,1,0.7,A,17,0
3,0.1,seqFeedback,0,0.3,A,4,3
3,0.1,seqFeedback,1,0.3,A,5,5
3,0.1,seqFeedback,0,0.7,A,1,5
3,0.1,seqFeedback,1,0.7,A,13,0
3,0.1,nonSeqFull,0,0.3,B,0,19
3,0.1,nonSeqFull,0,0.7,A,16,0
3,0.1,nonSeqPartial,0,0.3,A,2,0
3,0.1,nonSeqPartial,0,0.7,B,1,5
3,0.1,seqNoFeedback,0,0.3,A,3,2
3,0.1,seqNoFeedback,1,0.3,A,0,20
3,0.1,seqNoFeedback,0,0.7,B,7,4
3,0.1,seqNoFeedback,1,0.7,B,5,5
3,0.1,seqFeedback,0,0.3,B,2,0
3,0.1,seqFeedback,1,0.3,B,0,19
3,0.1,seqFeedback,0,0.7,A,12,0
3,0.1,seqFeedback,1,0.7,A,15,0
3,0.1,nonSeqFull,0,0.3,A,4,1
3,0.1,nonSeqFull,0,0.7,B,7,6
3,0.1,nonSeqPartial,0,0.3,A,1,18
3,0.1,nonSeqPartial,0,0.7,A,0,2
3,0.1,seqNoFeedback,0,0.3,B,6,0
3,0.1,seqNoFeedback,1,0.3,B,0,9
3,0.1,seqNoFeedback,0,0.7,B,20,0
3,0.1,seqNoFeedback,1,0.7,B,12,1
3,0.1,seqFeedback,0,0.3,A,2,14
3,0.1,seqFeedback,1,0.3,A,4,1
3,0.1,seqFeedback,0,0.7,B,0,4
3,0.1,seqFeedback,1,0.7,B,3,5
3,0.1,nonSeqFull,0,0.3,A,3,0
3,0.1,nonSeqFull,0,0.7,A,23,2
3,0.1,nonSeqPartial,0,0.3,A,5,2
3,0.1,nonSeqPartial,0,0.7,A,11,1
3,0.1,seqNoFeedback,0,0.3,A,3,21
3,0.1,seqNoFeedback,1,0.3,A,1,15
3,0.1,seqNoFeedback,0,0.7,B,11,0
3,0.1,seqNoFeedback,1,0.7,B,20,1
3,0.1,seqFeedback,0,0.3,A,3,0
3,0.1,seqFeedback,1,0.3,A,1,2
3,0.1,seqFeedback,0,0.7,A,2,5
3,0.1,seqFeedback,1,0.7,A,13,0
3,0.1,nonSeqFull,0,0.3,B,1,21
3,0.1,nonSeqFull,0,0.7,A,15,0
3,0.1,nonSeqPartial,0,0.3,A,5,4
3,0.1,nonSeqPartial,0,0.7,B,1,4
3,0.1,seqNoFeedback,0,0.3,A,2,0
3,0.1,seqNoFeedback,1,0.3,A,4,7
3,0.1,seqNoFeedback,0,0.7,A,18,0
3,0.1,seqNoFeedback,1,0.7,A,1,4
3,0.1,seqFeedback,0,0.3,B,0,16
3,0.1,seqFeedback,1,0.3,B,4,20
3,0.1,seqFeedback,0,0.7,B,16,0
3,0.1,seqFeedback,1,0.7,B,1,3
3,0.1,nonSeqFull,0,0.3,A,4,8
3,0.1,nonSeqFull,0,0.7,B,1,1
3,0.1,nonSeqPartial,0,0.3,A,2,1
3,0.1,nonSeqPartial,0,0.7,B,7,0
3,0.1,seqNoFeedback,0,0.3,A,3,27
3,0.1,seqNoFeedback,1,0.3,A,4,2
3,0.1,seqNoFeedback,0,0.7,B,15,0
3,0.1,seqNoFeedback,1,0.7,B,10,9
3,0.1,seqFeedback,0,0.3,B,4,5
3,0.1,seqFeedback,1,0.3,B,1,22
3,0.1,seqFeedback,0,0.7,A,17,0
3,0.1,seqFeedback,1,0.7,A,11,0
3,0.1,nonSeqFull,0,0.3,A,3,0
3,0.1,nonSeqFull,0,0.7,B,2,3
3,0.1,nonSeqPartial,0,0.3,B,1,18
3,0.1,nonSeqPartial,0,0.7,A,17,0
3,0.1,seqNoFeedback,0,0.3,B,0,18
3,0.1,seqNoFeedback,1,0.3,B,0,13
3,0.1,seqNoFeedback,0,0.7,A,1,1
3,0.1,seqNoFeedback,1,0.7,A,2,2
3,0.1,seqFeedback,0,0.3,A,5,1
3,0.1,seqFeedback,1,0.3,A,8,2
3,0.1,seqFeedback,0,0.7,B,23,0
3,0.1,seqFeedback,1,0.7,B,2,4
3,0.1,nonSeqFull,0,0.3,A,2,3
3,0.1,nonSeqFull,0,0.7,A,13,0
3,0.1,nonSeqPartial,0,0.3,A,0,17
3,0.1,nonSeqPartial,0,0.7,B,1,5
3,0.1,seqNoFeedback,0,0.3,B,5,0
3,0.1,seqNoFeedback,1,0.3,B,0,13
3,0.1,seqNoFeedback,0,0.7,A,16,2
3,0.1,seqNoFeedback,1,0.7,A,15,4
3,0.1,seqFeedback,0,0.3,B,5,1
3,0.1,seqFeedback,1,0.3,B,1,15
3,0.1,seqFeedback,0,0.7,A,23,0
3,0.1,seqFeedback,1,0.7,A,16,0
3,0.1,nonSeqFull,0,0.3,B,0,12
3,0.1,nonSeqFull,0,0.7,B,0,3
3,0.1,nonSeqPartial,0,0.3,A,6,7
3,0.1,nonSeqPartial,0,0.7,A,0,1
3,0.1,seqNoFeedback,0,0.3,B,3,22
3,0.1,seqNoFeedback,1,0.3,B,2,19
3,0.1,seqNoFeedback,0,0.7,A,0,4
3,0.1,seqNoFeedback,1,0.7,A,11,0
3,0.1,seqFeedback,0,0.3,B,0,17
3,0.1,seqFeedback,1,0.3,B,4,16
3,0.1,seqFeedback,0,0.7,A,22,3
3,0.1,seqFeedback,1,0.7,A,19,1
3,0.1,nonSeqFull,0,0.3,A,6,0
3,0.1,nonSeqFull,0,0.7,A,13,1
3,0.1,nonSeqPartial,0,0.3,B,0,11
3,0.1,nonSeqPartial,0,0.7,A,0,2
3,0.1,seqNoFeedback,0,0.3,B,0,18
3,0.1,seqNoFeedback,1,0.3,B,0,17
3,0.1,seqNoFeedback,0,0.7,A,13,0
3,0.1,seqNoFeedback,1,0.7,A,2,1
3,0.1,seqFeedback,0,0.3,A,4,2
3,0.1,seqFeedback,1,0.3,A,1,0
3,0.1,seqFeedback,0,0.7,B,22,1
3,0.1,seqFeedback,1,0.7,B,0,1
3,0.1,nonSeqFull,0,0.3,A,2,2
3,0.1,nonSeqFull,0,0.7,B,1,2
3,0.1,nonSeqPartial,0,0.3,A,4,3
3,0.1,nonSeqPartial,0,0.7,B,0,1
3,0.1,seqNoFeedback,0,0.3,B,2,0
3,0.1,seqNoFeedback,1,0.3,B,2,4
3,0.1,seqNoFeedback,0,0.7,A,16,0
3,0.1,seqNoFeedback,1,0.7,A,1,2
3,0.1,seqFeedback,0,0.3,A,1,17
3,0.1,seqFeedback,1,0.3,A,2,2
3,0.1,seqFeedback,0,0.7,A,2,3
3,0.1,seqFeedback,1,0.7,A,24,3
3,0.1,nonSeqFull,0,0.3,A,4,2
3,0.1,nonSeqFull,0,0.7,A,19,0
3,0.1,nonSeqPartial,0,0.3,B,2,2
3,0.1,nonSeqPartial,0,0.7,A,0,5
3,0.1,seqNoFeedback,0,0.3,B,4,0
3,0.1,seqNoFeedback,1,0.3,B,0,15
3,0.1,seqNoFeedback,0,0.7,A,20,1
3,0.1,seqNoFeedback,1,0.7,A,18,0
3,0.1,seqFeedback,0,0.3,A,2,21
3,0.1,seqFeedback,1,0.3,A,3,0
3,0.1,seqFeedback,0,0.7,A,0,2
3,0.1,seqFeedback,1,0.7,A,11,0
3,0.1,nonSeqFull,0,0.3,B,0,16
3,0.1,nonSeqFull,0,0.7,B,2,5
3,0.1,nonSeqPartial,0,0.3,A,0,14
3,0.1,nonSeqPartial,0,0.7,B,18,0
3,0.1,seqNoFeedback,0,0.3,A,0,14
3,0.1,seqNoFeedback,1,0.3,A,4,2
3,0.1,seqNoFeedback,0,0.7,B,22,0
3,0.1,seqNoFeedback,1,0.7,B,28,0
3,0.1,seqFeedback,0,0.3,A,2,21
3,0.1,seqFeedback,1,0.3,A,3,1
3,0.1,seqFeedback,0,0.7,B,10,0
3,0.1,seqFeedback,1,0.7,B,1,4
3,0.1,nonSeqFull,0,0.3,A,6,3
3,0.1,nonSeqFull,0,0.7,B,2,4
3,0.1,nonSeqPartial,0,0.3,A,0,22
3,0.1,nonSeqPartial,0,0.7,A,0,1
3,0.1,seqNoFeedback,0,0.3,B,2,2
3,0.1,seqNoFeedback,1,0.3,B,2,1
3,0.1,seqNoFeedback,0,0.7,B,4,3
3,0.1,seqNoFeedback,1,0.7,B,22,1
3,0.1,seqFeedback,0,0.3,A,3,22
3,0.1,seqFeedback,1,0.3,A,4,0
3,0.1,seqFeedback,0,0.7,A,0,4
3,0.1,seqFeedback,1,0.7,A,20,1
3,0.1,nonSeqFull,0,0.3,A,4,0
3,0.1,nonSeqFull,0,0.7,B,0,2
3,0.1,nonSeqPartial,0,0.3,B,1,1
3,0.1,nonSeqPartial,0,0.7,B,1,4
3,0.1,seqNoFeedback,0,0.3,A,0,14
3,0.1,seqNoFeedback,1,0.3,A,0,16
3,0.1,seqNoFeedback,0,0.7,A,13,0
3,0.1,seqNoFeedback,1,0.7,A,0,3
3,0.1,seqFeedback,0,0.3,B,2,14
3,0.1,seqFeedback,1,0.3,B,1,20
3,0.1,seqFeedback,0,0.7,A,20,2
3,0.1,seqFeedback,1,0.7,A,10,0
3,0.1,nonSeqFull,0,0.3,B,0,12
3,0.1,nonSeqFull,0,0.7,A,24,0
3,0.1,nonSeqPartial,0,0.3,B,7,2
3,0.1,nonSeqPartial,0,0.7,A,0,3
3,0.1,seqNoFeedback,0,0.3,A,2,0
3,0.1,seqNoFeedback,1,0.3,A,2,2
3,0.1,seqNoFeedback,0,0.7,A,16,1
3,0.1,seqNoFeedback,1,0.7,A,0,3
3,0.1,seqFeedback,0,0.3,B,1,0
3,0.1,seqFeedback,1,0.3,B,0,11
3,0.1,seqFeedback,0,0.7,A,1,3
3,0.1,seqFeedback,1,0.7,A,22,0
3,0.1,nonSeqFull,0,0.3,A,1,0
3,0.1,nonSeqFull,0,0.7,A,21,0
3,0.1,nonSeqPartial,0,0.3,B,2,0
3,0.1,nonSeqPartial,0,0.7,B,17,2
3,0.1,seqNoFeedback,0,0.3,A,4,3
3,0.1,seqNoFeedback,1,0.3,A,1,14
3,0.1,seqNoFeedback,0,0.7,B,14,0
3,0.1,seqNoFeedback,1,0.7,B,1,4
3,0.1,seqFeedback,0,0.3,A,5,3
3,0.1,seqFeedback,1,0.3,A,5,7
3,0.1,seqFeedback,0,0.7,B,23,2
3,0.1,seqFeedback,1,0.7,B,0,5
3,0.1,nonSeqFull,0,0.3,A,5,2
3,0.1,nonSeqFull,0,0.7,B,2,2
3,0.1,nonSeqPartial,0,0.3,B,5,1
3,0.1,nonSeqPartial,0,0.7,A,12,0
3,0.1,seqNoFeedback,0,0.3,A,2,0
3,0.1,seqNoFeedback,1,0.3,A,4,24
3,0.1,seqNoFeedback,0,0.7,A,1,4
3,0.1,seqNoFeedback,1,0.7,A,0,2
3,0.1,seqFeedback,0,0.3,A,2,1
3,0.1,seqFeedback,1,0.3,A,5,1
3,0.1,seqFeedback,0,0.7,A,1,3
3,0.1,seqFeedback,1,0.7,A,12,0
3,0.1,nonSeqFull,0,0.3,B,0,12
3,0.1,nonSeqFull,0,0.7,B,1,3
3,0.1,nonSeqPartial,0,0.3,A,2,0
3,0.1,nonSeqPartial,0,0.7,B,0,2
3,0.1,seqNoFeedback,0,0.3,A,2,2
3,0.1,seqNoFeedback,1,0.3,A,1,8
3,0.1,seqNoFeedback,0,0.7,A,17,0
3,0.1,seqNoFeedback,1,0.7,A,17,0
3,0.1,seqFeedback,0,0.3,B,4,18
3,0.1,seqFeedback,1,0.3,B,1,15
3,0.1,seqFeedback,0,0.7,A,16,2
3,0.1,seqFeedback,1,0.7,A,23,2
3,0.1,nonSeqFull,0,0.3,B,0,15
3,0.1,nonSeqFull,0,0.7,A,11,0
3,0.1,nonSeqPartial,0,0.3,B,4,2
3,0.1,nonSeqPartial,0,0.7,A,24,2
3,0.1,seqNoFeedback,0,0.3,A,1,16
3,0.1,seqNoFeedback,1,0.3,A,4,3
3,0.1,seqNoFeedback,0,0.7,A,17,0
3,0.1,seqNoFeedback,1,0.7,A,2,4
3,0.1,seqFeedback,0,0.3,B,0,13
3,0.1,seqFeedback,1,0.3,B,5,22
3,0.1,seqFeedback,0,0.7,B,18,0
3,0.1,seqFeedback,1,0.7,B,0,1
3,0.1,nonSeqFull,0,0.3,B,4,26
3,0.1,nonSeqFull,0,0.7,A,17,1
3,0.1,nonSeqPartial,0,0.3,B,0,15
3,0.1,nonSeqPartial,0,0.7,B,2,4
3,0.1,seqNoFeedback,0,0.3,B,3,0
3,0.1,seqNoFeedback,1,0.3,B,0,15
3,0.1,seqNoFeedback,0,0.7,A,14,0
3,0.1,seqNoFeedback,1,0.7,A,15,0
3,0.1,seqFeedback,0,0.3,A,1,0
3,0.1,seqFeedback,1,0.3,A,7,5
3,0.1,seqFeedback,0,0.7,A,0,3
3,0.1,seqFeedback,1,0.7,A,14,0
3,0.1,nonSeqFull,0,0.3,A,2,3
3,0.1,nonSeqFull,0,0.7,A,13,0
3,0.1,nonSeqPartial,0,0.3,B,0,15
3,0.1,nonSeqPartial,0,0.7,A,17,3
3,0.1,seqNoFeedback,0,0.3,B,0,15
3,0.1,seqNoFeedback,1,0.3,B,2,0
3,0.1,seqNoFeedback,0,0.7,A,13,0
3,0.1,seqNoFeedback,1,0.7,A,1,2
3,0.1,seqFeedback,0,0.3,B,6,2
3,0.1,seqFeedback,1,0.3,B,2,13
3,0.1,seqFeedback,0,0.7,B,0,3
3,0.1,seqFeedback,1,0.7,B,1,3
3,0.1,nonSeqFull,0,0.3,B,0,17
3,0.1,nonSeqFull,0,0.7,A,16,0
3,0.1,nonSeqPartial,0,0.3,B,2,0
3,0.1,nonSeqPartial,0,0.7,B,15,1
3,0.1,seqNoFeedback,0,0.3,A,2,0
3,0.1,seqNoFeedback,1,0.3,A,0,10
3,0.1,seqNoFeedback,0,0.7,B,1,3
3,0.1,seqNoFeedback,1,0.7,B,3,5
3,0.1,seqFeedback,0,0.3,B,2,14
3,0.1,seqFeedback,1,0.3,B,0,18
3,0.1,seqFeedback,0,0.7,B,1,5
3,0.1,seqFeedback,1,0.7,B,2,3
3,0.1,nonSeqFull,0,0.3,A,4,0
3,0.1,nonSeqFull,0,0.7,A,14,0
3,0.1,nonSeqPartial,0,0.3,B,0,19
3,0.1,nonSeqPartial,0,0.7,A,10,1
3,0.1,seqNoFeedback,0,0.3,A,4,1
3,0.1,seqNoFeedback,1,0.3,A,4,1
3,0.1,seqNoFeedback,0,0.7,A,4,5
3,0.1,seqNoFeedback,1,0.7,A,5,8
3,0.1,seqFeedback,0,0.3,A,7,6
3,0.1,seqFeedback,1,0.3,A,2,0
3,0.1,seqFeedback,0,0.7,A,0,2
3,0.1,seqFeedback,1,0.7,A,17,2
3,0.1,nonSeqFull,0,0.3,B,0,8
3,0.1,nonSeqFull,0,0.7,B,1,2
3,0.1,nonSeqPartial,0,0.3,B,0,15
3,0.1,nonSeqPartial,0,0.7,B,5,3
3,0.1,seqNoFeedback,0,0.3,A,1,0
3,0.1,seqNoFeedback,1,0.3,A,2,0
3,0.1,seqNoFeedback,0,0.7,A,17,2
3,0.1,seqNoFeedback,1,0.7,A,0,3
3,0.1,seqFeedback,0,0.3,A,0,12
3,0.1,seqFeedback,1,0.3,A,5,8
3,0.1,seqFeedback,0,0.7,B,14,0
3,0.1,seqFeedback,1,0.7,B,2,5
3,0.1,nonSeqFull,0,0.3,B,1,17
3,0.1,nonSeqFull,0,0.7,A,15,0
3,0.1,nonSeqPartial,0,0.3,B,0,18
3,0.1,nonSeqPartial,0,0.7,A,19,0
3,0.1,seqNoFeedback,0,0.3,A,2,0
3,0.1,seqNoFeedback,1,0.3,A,1,12
3,0.1,seqNoFeedback,0,0.7,A,0,3
3,0.1,seqNoFeedback,1,0.7,A,0,6
3,0.1,seqFeedback,0,0.3,B,4,0
3,0.1,seqFeedback,1,0.3,B,2,22
3,0.1,seqFeedback,0,0.7,A,21,0
3,0.1,seqFeedback,1,0.7,A,20,0
3,0.1,nonSeqFull,0,0.3,A,5,1
3,0.1,nonSeqFull,0,0.7,A,22,3
3,0.1,nonSeqPartial,0,0.3,B,1,0
3,0.1,nonSeqPartial,0,0.7,A,0,2
3,0.1,seqNoFeedback,0,0.3,A,1,17
3,0.1,seqNoFeedback,1,0.3,A,0,2
3,0.1,seqNoFeedback,0,0.7,B,23,1
3,0.1,seqNoFeedback,1,0.7,B,2,4
3,0.1,seqFeedback,0,0.3,A,5,7
3,0.1,seqFeedback,1,0.3,A,1,0
3,0.1,seqFeedback,0,0.7,B,20,1
3,0.1,seqFeedback,1,0.7,B,5,2
3,0.1,nonSeqFull,0,0.3,B,1,24
3,0.1,nonSeqFull,0,0.7,B,2,4
3,0.1,nonSeqPartial,0,0.3,B,9,17
3,0.1,nonSeqPartial,0,0.7,A,2,2
3,0.1,seqNoFeedback,0,0.3,B,0,19
3,0.1,seqNoFeedback,1,0.3,B,0,15
3,0.1,seqNoFeedback,0,0.7,B,4,4
