subject_id,alpha,costWeight,block_type,trial_num,theta,student_class,heads,tails
0,1,0.01,nonSeqFull,0,0.3,A,4,5
0,1,0.01,nonSeqFull,0,0.3,B,1,31
0,1,0.01,nonSeqFull,0,0.7,A,15,2
0,1,0.01,nonSeqFull,0,0.7,B,38,14
0,1,0.01,nonSeqPartial,0,0.3,A,24,41
0,1,0.01,nonSeqPartial,0,0.3,B,18,45
0,1,0.01,nonSeqPartial,0,0.7,A,15,4
0,1,0.01,nonSeqPartial,0,0.7,B,33,21
0,1,0.01,seqNoFeedback,0,0.3,A,0,15
0,1,0.01,seqNoFeedback,1,0.3,A,10,22
0,1,0.01,seqNoFeedback,0,0.3,B,19,50
0,1,0.01,seqNoFeedback,1,0.3,B,19,24
0,1,0.01,seqNoFeedback,0,0.7,A,43,6
0,1,0.01,seqNoFeedback,1,0.7,A,18,0
0,1,0.01,seqNoFeedback,0,0.7,B,6,7
0,1,0.01,seqNoFeedback,1,0.7,B,14,11
0,1,0.01,seqFeedback,0,0.3,A,21,35
0,1,0.01,seqFeedback,1,0.3,A,11,4
0,1,0.01,seqFeedback,0,0.3,B,24,27
0,1,0.01,seqFeedback,1,0.3,B,3,32
0,1,0.01,seqFeedback,0,0.7,A,32,22
0,1,0.01,seqFeedback,1,0.7,A,26,1
0,1,0.01,seqFeedback,0,0.7,B,50,20
0,1,0.01,seqFeedback,1,0.7,B,38,15
1,1,0.01,nonSeqFull,0,0.3,A,4,1
1,1,0.01,nonSeqFull,0,0.3,B,3,30
1,1,0.01,nonSeqFull,0,0.7,A,21,0
1,1,0.01,nonSeqFull,0,0.7,B,39,24
1,1,0.01,nonSeqPartial,0,0.3,A,10,34
1,1,0.01,nonSeqPartial,0,0.3,B,14,51
1,1,0.01,nonSeqPartial,0,0.7,A,50,12
1,1,0.01,nonSeqPartial,0,0.7,B,35,9
1,1,0.01,seqNoFeedback,0,0.3,A,14,42
1,1,0.01,seqNoFeedback,1,0.3,A,9,25
1,1,0.01,seqNoFeedback,0,0.3,B,2,2
1,1,0.01,seqNoFeedback,1,0.3,B,16,44
1,1,0.01,seqNoFeedback,0,0.7,A,7,3
1,1,0.01,seqNoFeedback,1,0.7,A,7,6
1,1,0.01,seqNoFeedback,0,0.7,B,5,3
1,1,0.01,seqNoFeedback,1,0.7,B,11,16
1,1,0.01,seqFeedback,0,0.3,A,23,34
1,1,0.01,seqFeedback,1,0.3,A,8,4
1,1,0.01,seqFeedback,0,0.3,B,13,54
1,1,0.01,seqFeedback,1,0.3,B,8,42
1,1,0.01,seqFeedback,0,0.7,A,27,0
1,1,0.01,seqFeedback,1,0.7,A,19,1
1,1,0.01,seqFeedback,0,0.7,B,40,8
1,1,0.01,seqFeedback,1,0.7,B,47,18
2,1,0.01,nonSeqFull,0,0.3,A,3,4
2,1,0.01,nonSeqFull,0,0.3,B,10,26
2,1,0.01,nonSeqFull,0,0.7,A,43,7
2,1,0.01,nonSeqFull,0,0.7,B,12,12
2,1,0.01,nonSeqPartial,0,0.3,A,10,0
2,1,0.01,nonSeqPartial,0,0.3,B,15,36
2,1,0.01,nonSeqPartial,0,0.7,A,44,21
2,1,0.01,nonSeqPartial,0,0.7,B,0,7
2,1,0.01,seqNoFeedback,0,0.3,A,20,22
2,1,0.01,seqNoFeedback,1,0.3,A,19,22
2,1,0.01,seqNoFeedback,0,0.3,B,0,1
2,1,0.01,seqNoFeedback,1,0.3,B,13,10
2,1,0.01,seqNoFeedback,0,0.7,A,24,7
2,1,0.01,seqNoFeedback,1,0.7,A,38,7
2,1,0.01,seqNoFeedback,0,0.7,B,47,5
2,1,0.01,seqNoFeedback,1,0.7,B,17,3
2,1,0.01,seqFeedback,0,0.3,A,19,51
2,1,0.01,seqFeedback,1,0.3,A,2,0
2,1,0.01,seqFeedback,0,0.3,B,4,25
2,1,0.01,seqFeedback,1,0.3,B,7,30
2,1,0.01,seqFeedback,0,0.7,A,0,3
2,1,0.01,seqFeedback,1,0.7,A,32,6
2,1,0.01,seqFeedback,0,0.7,B,15,6
2,1,0.01,seqFeedback,1,0.7,B,0,1
3,1,0.01,nonSeqFull,0,0.3,A,9,11
3,1,0.01,nonSeqFull,0,0.3,B,1,16
3,1,0.01,nonSeqFull,0,0.7,A,39,1
3,1,0.01,nonSeqFull,0,0.7,B,39,18
3,1,0.01,nonSeqPartial,0,0.3,A,21,46
3,1,0.01,nonSeqPartial,0,0.3,B,2,28
3,1,0.01,nonSeqPartial,0,0.7,A,22,6
3,1,0.01,nonSeqPartial,0,0.7,B,44,7
3,1,0.01,seqNoFeedback,0,0.3,A,5,13
3,1,0.01,seqNoFeedback,1,0.3,A,20,35
3,1,0.01,seqNoFeedback,0,0.3,B,8,0
3,1,0.01,seqNoFeedback,1,0.3,B,5,11
3,1,0.01,seqNoFeedback,0,0.7,A,44,3
3,1,0.01,seqNoFeedback,1,0.7,A,36,6
3,1,0.01,seqNoFeedback,0,0.7,B,32,16
3,1,0.01,seqNoFeedback,1,0.7,B,31,18
3,1,0.01,seqFeedback,0,0.3,A,2,21
